AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-0.64,3.7,12.4,-0.06,0.21,-0.31,1721200926630
-1.3,-2.89,8.81,-0.14,0.11,-0.22,1721200926640
-2.63,-4.5,18.04,-0.16,0.09,0.02,1721200926650
-1.09,-3.24,8.09,-0.05,-0.16,0.08,1721200926660
-1.8,4.95,8.28,-0.09,-0.15,0.1,1721200926670
1.84,3.24,13.13,0.08,0.27,-0.18,1721200926680
2.24,-4.27,6.71,-0.07,0.07,-0.15,1721200926690
-1.04,5.67,18.87,0.0,0.23,-0.2,1721200926700
-0.83,1.99,9.62,0.06,-0.02,-0.11,1721200926710
-5.46,5.27,13.59,0.12,-0.02,-0.17,1721200926720
-1.65,-0.99,5.39,0.1,-0.04,-0.0,1721200926730
-0.68,-5.96,5.09,-0.09,-0.1,0.14,1721200926740
-1.25,6.24,11.4,0.15,0.05,-0.16,1721200926750
0.17,4.66,14.05,0.06,0.26,-0.51,1721200926760
-5.5,-1.15,7.04,0.06,-0.12,-0.24,1721200926770
-4.19,1.41,11.27,0.04,0.34,0.1,1721200926780
1.96,0.95,10.91,0.07,0.1,0.09,1721200926790
0.91,4.66,9.8,0.14,-0.11,-0.01,1721200926800
1.12,2.33,10.64,0.17,0.11,-0.2,1721200926810
-0.91,-0.53,5.42,0.13,-0.15,-0.03,1721200926820
-3.56,1.69,12.34,-0.02,-0.04,-0.0,1721200926830
-1.34,0.06,10.35,0.11,-0.01,0.07,1721200926840
-1.98,1.5,5.17,0.05,-0.05,-0.02,1721200926850
-2.99,-0.83,10.07,-0.12,0.04,0.08,1721200926860
0.63,2.23,19.75,0.18,0.04,0.25,1721200926870
1.81,1.99,0.22,0.09,-0.19,0.22,1721200926880
0.16,0.09,11.08,-0.1,0.02,-0.13,1721200926890
0.63,0.55,8.68,0.09,-0.03,-0.04,1721200926900
-0.11,1.42,9.29,-0.12,-0.12,0.18,1721200926910
-0.05,1.77,13.79,0.03,-0.02,0.15,1721200926920
1.19,0.42,11.18,0.02,-0.03,0.04,1721200926930
-1.39,4.93,11.23,-0.03,-0.13,-0.12,1721200926940
-3.79,0.92,11.89,-0.12,-0.11,0.06,1721200926950
-2.84,-3.2,11.8,-0.0,-0.1,0.21,1721200926960
0.64,-0.24,6.68,0.0,-0.02,0.4,1721200926970
2.79,0.44,8.96,-0.2,-0.19,0.08,1721200926980
2.09,-2.16,14.09,-0.09,-0.32,0.08,1721200926990
0.73,4.67,16.94,0.06,0.03,-0.04,1721200927000
1.19,1.66,6.88,0.21,-0.14,-0.32,1721200927010
-1.64,-9.42,4.38,-0.28,-0.11,-0.03,1721200927020
-4.75,2.17,13.19,0.02,-0.25,0.14,1721200927030
0.31,3.58,11.07,0.02,-0.01,0.25,1721200927040
4.43,2.78,9.25,0.14,-0.08,0.15,1721200927050
5.05,-2.88,4.62,-0.2,0.04,-0.31,1721200927060
-2.81,5.93,17.45,0.03,-0.16,-0.61,1721200927070
-2.84,1.3,9.79,0.11,0.01,-0.02,1721200927080
-0.59,-3.09,5.45,-0.0,0.02,0.22,1721200927090
2.83,-5.73,11.1,-0.11,-0.01,-0.01,1721200927100
2.47,0.25,12.44,-0.08,-0.17,-0.27,1721200927110
-0.8,2.2,9.29,0.07,-0.06,-0.41,1721200927120
-2.15,4.3,10.69,0.1,0.18,-0.19,1721200927130
-0.7,-1.52,8.98,-0.01,-0.0,0.12,1721200927140
1.07,-5.49,11.26,-0.07,0.05,-0.06,1721200927150
-0.19,6.42,14.96,-0.0,0.15,-0.38,1721200927160
-1.65,2.33,9.93,0.13,-0.15,-0.05,1721200927170
-0.29,-5.94,-0.35,-0.16,0.02,0.04,1721200927180
3.05,-1.92,15.77,-0.11,0.32,-0.27,1721200927190
0.59,9.58,9.98,0.28,0.01,-0.35,1721200927200
-1.47,-1.68,9.44,-0.24,0.27,-0.32,1721200927210
-1.35,-0.48,18.65,0.17,0.12,0.18,1721200927220
2.86,3.74,6.15,0.1,0.08,0.12,1721200927230
2.63,7.06,8.75,0.1,0.05,-0.34,1721200927240
0.55,-0.88,3.7,-0.17,0.08,-0.6,1721200927250
-5.47,0.21,16.55,-0.03,0.01,-0.36,1721200927260
-4.56,5.1,10.72,0.16,0.23,0.06,1721200927270
1.39,-2.88,6.65,-0.09,0.22,0.33,1721200927280
3.18,1.19,15.69,0.01,0.13,0.0,1721200927290
3.22,5.88,11.66,0.26,0.14,-0.37,1721200927300
0.62,-0.58,2.43,-0.01,0.04,-0.5,1721200927310
-2.91,-2.04,19.08,-0.16,0.22,-0.3,1721200927320
-2.23,4.58,12.13,0.41,0.05,-0.06,1721200927330
0.29,-0.37,-1.33,-0.05,0.28,-0.12,1721200927340
-0.61,-0.57,14.03,0.0,0.16,-0.16,1721200927350
2.63,2.59,16.24,0.07,0.3,-0.4,1721200927360
-0.88,1.18,10.88,0.3,0.02,-0.62,1721200927370
-6.1,-7.54,-3.05,-0.25,0.01,-0.35,1721200927380
-5.84,1.22,22.48,-0.03,0.36,0.1,1721200927390
2.27,1.7,13.17,0.18,0.16,-0.01,1721200927400
-1.96,-0.83,6.78,-0.05,-0.07,-0.29,1721200927410
-6.47,-7.83,2.98,-0.03,0.09,-0.19,1721200927420
-0.34,-2.57,11.2,-0.04,0.69,0.04,1721200927430
3.77,1.44,15.44,-0.01,-0.0,0.15,1721200927440
-0.34,0.34,13.51,-0.03,-0.34,-0.14,1721200927450
-5.18,7.07,2.67,0.33,0.07,-0.29,1721200927460
-0.38,-6.28,6.39,-0.29,0.4,-0.17,1721200927470
-4.76,-6.99,19.31,-0.18,-0.26,0.1,1721200927480
-2.95,4.34,8.24,0.1,0.12,0.23,1721200927490
0.17,5.74,4.88,0.15,0.22,0.04,1721200927500
3.21,-5.54,14.0,-0.23,0.33,0.1,1721200927510
2.45,0.86,18.22,0.05,0.05,0.07,1721200927520
1.69,10.26,13.12,0.24,0.07,-0.35,1721200927530
1.27,-1.67,10.16,-0.08,0.02,-0.32,1721200927540
-5.57,-0.99,5.49,0.2,-0.32,-0.03,1721200927550
-1.16,-3.53,10.75,-0.1,0.53,0.18,1721200927560
2.82,2.71,14.85,0.22,-0.02,-0.0,1721200927570
-0.14,2.21,2.46,-0.07,-0.1,-0.21,1721200927580
-3.14,-0.96,12.82,0.03,0.41,-0.34,1721200927590
-1.64,-2.95,7.02,0.03,0.17,-0.09,1721200927600
-1.44,-1.04,12.3,-0.21,0.25,-0.04,1721200927610
0.92,3.78,17.26,0.1,0.08,-0.11,1721200927620
-2.38,2.25,3.81,0.13,-0.31,-0.07,1721200927630
-1.72,-2.77,11.63,-0.08,0.48,0.08,1721200927640
2.16,-2.42,10.93,0.01,0.07,0.21,1721200927650
-1.36,2.88,7.3,-0.01,-0.1,0.02,1721200927660
-4.57,0.01,5.16,-0.08,-0.33,-0.23,1721200927675
-1.0,-4.81,9.16,-0.23,-0.15,-0.13,1721200927679
-5.33,3.63,10.44,0.09,-0.1,0.18,1721200927689
0.84,3.4,8.88,-0.11,0.25,0.06,1721200927699
0.79,1.16,19.71,0.02,-0.1,0.18,1721200927709
-2.08,10.36,4.19,0.21,0.01,0.04,1721200927719
2.01,-0.46,10.19,-0.25,0.24,-0.02,1721200927729
-2.15,-1.98,12.09,-0.03,-0.44,0.18,1721200927739
-3.9,0.81,3.73,-0.13,-0.03,0.18,1721200927749
-0.05,1.69,13.1,-0.09,0.16,0.04,1721200927759
0.96,2.86,13.27,0.01,0.06,0.11,1721200927769
0.16,0.88,10.93,-0.06,-0.01,0.06,1721200927779
0.1,0.04,8.39,0.04,-0.02,0.06,1721200927789
0.96,-4.19,9.2,-0.2,0.11,0.05,1721200927799
-2.53,5.54,19.96,0.12,-0.07,0.17,1721200927809
-0.92,2.92,2.99,0.06,-0.07,0.33,1721200927819
0.1,-2.53,10.34,-0.24,0.04,0.1,1721200927829
0.21,-1.91,15.9,-0.0,-0.08,0.08,1721200927839
-1.56,-0.68,8.2,-0.12,-0.08,0.2,1721200927849
-3.57,3.18,9.79,0.08,-0.24,0.36,1721200927859
3.76,1.14,8.44,-0.03,0.18,0.28,1721200927869
5.71,-5.56,13.32,-0.19,-0.18,0.16,1721200927879
-0.02,5.27,10.69,0.02,-0.15,-0.22,1721200927889
-2.51,7.45,9.67,0.03,0.07,-0.25,1721200927899
-1.0,-4.33,11.82,-0.12,-0.07,0.34,1721200927909
2.79,-2.72,13.94,0.08,-0.02,0.43,1721200927919
4.42,-2.34,3.06,-0.08,0.03,-0.08,1721200927929
0.33,4.82,17.8,0.02,0.01,-0.21,1721200927939
-0.37,-0.46,7.24,0.04,-0.08,-0.15,1721200927949
-1.22,4.47,13.7,0.11,-0.03,0.25,1721200927959
3.47,1.53,7.65,0.17,0.16,0.06,1721200927969
1.21,0.69,13.57,-0.07,-0.01,-0.32,1721200927979
