AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
0.72,0.68,3.9,0.17,0.04,0.04,1723210570223,cobblestone
0.2,-2.62,4.87,-0.19,0.07,-0.1,1723210570233,cobblestone
-1.06,-2.74,6.95,-0.31,0.05,-0.19,1723210570242,cobblestone
-1.56,-4.29,9.63,-0.33,0.01,-0.12,1723210570251,cobblestone
-2.29,-4.38,12.83,-0.33,0.1,0.01,1723210570260,cobblestone
-2.15,0.09,13.83,-0.07,0.07,0.08,1723210570269,cobblestone
-1.62,1.64,10.55,0.27,-0.04,0.21,1723210570278,cobblestone
-0.42,0.66,6.17,0.19,-0.01,0.24,1723210570287,cobblestone
0.37,-1.69,7.01,-0.31,0.05,0.19,1723210570296,cobblestone
1.63,-4.21,14.82,-0.59,0.11,0.12,1723210570306,cobblestone
1.07,1.7,17.54,-0.09,0.05,0.04,1723210570315,cobblestone
1.57,-0.58,12.66,0.61,-0.2,-0.02,1723210570324,cobblestone
0.93,-1.76,6.9,0.31,-0.03,-0.07,1723210570333,cobblestone
0.54,2.14,7.7,-0.1,0.03,-0.1,1723210570342,cobblestone
-0.84,5.8,11.28,-0.2,0.1,-0.09,1723210570351,cobblestone
-1.37,2.41,10.92,0.28,-0.1,-0.0,1723210570360,cobblestone
-1.47,0.1,5.86,0.28,-0.03,0.1,1723210570369,cobblestone
-0.15,-1.12,6.06,-0.15,0.02,0.11,1723210570378,cobblestone
-0.28,-1.84,10.6,-0.52,0.08,0.02,1723210570387,cobblestone
0.43,-1.89,17.26,-0.45,0.05,0.12,1723210570396,cobblestone
1.5,-0.06,20.57,0.03,0.06,0.19,1723210570405,cobblestone
1.71,2.38,14.24,0.68,-0.08,0.04,1723210570414,cobblestone
1.53,4.05,6.89,0.61,-0.05,-0.11,1723210570423,cobblestone
0.3,2.89,3.54,0.33,-0.11,-0.14,1723210570432,cobblestone
-0.43,3.4,5.07,-0.03,0.04,-0.11,1723210570441,cobblestone
-1.27,2.65,9.65,-0.34,-0.01,-0.02,1723210570450,cobblestone
-0.9,1.72,13.95,-0.35,0.09,0.04,1723210570459,cobblestone
-1.26,-1.07,15.52,-0.08,-0.02,0.1,1723210570468,cobblestone
-0.56,-3.45,13.69,0.03,-0.06,0.11,1723210570477,cobblestone
-0.0,-0.15,8.35,0.17,-0.05,0.07,1723210570486,cobblestone
0.19,-2.92,3.7,0.31,-0.08,0.08,1723210570495,cobblestone
0.38,-2.44,2.33,0.03,-0.03,0.0,1723210570504,cobblestone
0.7,-0.51,4.57,-0.28,-0.03,-0.03,1723210570513,cobblestone
-0.03,-4.39,8.26,-0.47,-0.02,0.03,1723210570522,cobblestone
0.0,-1.97,13.8,-0.65,0.17,0.09,1723210570531,cobblestone
0.3,0.6,17.75,-0.26,0.05,0.09,1723210570540,cobblestone
1.17,-3.5,17.37,0.22,-0.13,0.06,1723210570549,cobblestone
1.19,-2.9,11.73,0.37,-0.08,-0.03,1723210570558,cobblestone
0.97,0.81,6.04,0.3,-0.09,-0.14,1723210570567,cobblestone
0.24,0.45,4.1,0.09,-0.06,-0.11,1723210570576,cobblestone
-0.91,-1.26,4.06,-0.15,0.07,-0.09,1723210570585,cobblestone
-1.04,-1.86,7.81,-0.35,0.01,-0.01,1723210570594,cobblestone
