AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-0.96,3.02,10.43,0.21,0.2,0.05,1723210777604,cobblestone
-0.81,1.13,5.65,0.23,-0.01,0.14,1723210777613,cobblestone
1.33,-5.79,6.23,-0.12,0.23,0.1,1723210777622,cobblestone
-0.37,-2.46,8.28,-0.46,0.2,0.02,1723210777631,cobblestone
0.63,-2.35,15.81,-0.57,0.25,0.01,1723210777640,cobblestone
0.12,2.27,21.04,-0.22,0.25,-0.02,1723210777649,cobblestone
-0.25,1.65,17.51,0.55,-0.05,0.08,1723210777658,cobblestone
1.19,3.1,9.03,0.59,0.14,0.08,1723210777667,cobblestone
0.69,2.14,4.49,0.22,0.16,-0.02,1723210777676,cobblestone
0.1,-3.24,6.2,-0.23,0.18,-0.08,1723210777685,cobblestone
-1.05,-1.7,10.27,-0.39,0.24,-0.07,1723210777694,cobblestone
-1.47,0.57,14.62,-0.21,0.19,0.04,1723210777703,cobblestone
-1.47,1.63,15.07,0.14,0.11,0.14,1723210777712,cobblestone
-0.31,2.29,11.06,0.47,0.03,0.24,1723210777721,cobblestone
0.88,3.88,6.76,0.26,0.15,0.21,1723210777730,cobblestone
1.19,1.83,5.9,-0.0,0.12,0.14,1723210777739,cobblestone
1.43,-0.65,6.81,-0.22,0.17,0.04,1723210777748,cobblestone
-0.16,-0.2,9.71,-0.4,0.18,-0.16,1723210777757,cobblestone
-1.15,-2.43,13.53,-0.27,0.04,-0.07,1723210777766,cobblestone
-1.86,-1.96,12.76,-0.01,0.1,0.08,1723210777775,cobblestone
-1.39,-0.97,9.2,0.1,0.01,0.19,1723210777784,cobblestone
-0.56,-0.12,6.15,-0.01,0.1,0.23,1723210777793,cobblestone
0.4,-0.29,7.31,-0.27,0.11,0.17,1723210777802,cobblestone
0.39,-0.64,10.18,-0.28,0.12,0.11,1723210777811,cobblestone
-0.34,-1.46,12.16,-0.23,0.09,0.01,1723210777820,cobblestone
-0.2,-2.83,14.73,-0.21,0.05,0.05,1723210777829,cobblestone
-0.12,-0.31,15.42,-0.03,0.07,0.03,1723210777838,cobblestone
-0.49,-1.75,11.53,0.3,-0.08,0.09,1723210777847,cobblestone
0.32,-0.86,7.06,0.16,0.06,0.13,1723210777856,cobblestone
0.69,-0.33,7.25,-0.11,0.13,0.11,1723210777865,cobblestone
0.38,-0.06,10.43,-0.18,0.12,0.0,1723210777874,cobblestone
-0.07,2.02,11.57,0.0,0.08,0.04,1723210777883,cobblestone
0.27,1.5,12.51,0.11,0.02,0.1,1723210777892,cobblestone
0.17,-2.49,12.05,-0.12,0.1,0.13,1723210777901,cobblestone
0.33,0.61,14.26,-0.2,0.19,0.03,1723210777910,cobblestone
-0.18,2.27,13.35,0.16,0.01,-0.01,1723210777920,cobblestone
-0.32,0.22,11.15,0.2,0.02,-0.1,1723210777929,cobblestone
-2.45,-1.74,6.24,0.23,-0.04,-0.04,1723210777938,cobblestone
-0.81,-2.86,8.18,-0.31,0.12,0.01,1723210777947,cobblestone
-2.41,1.61,11.11,-0.36,0.16,0.13,1723210777956,cobblestone
-0.65,1.25,15.38,0.07,0.02,0.24,1723210777965,cobblestone
-0.37,0.57,10.92,0.26,0.07,0.21,1723210777974,cobblestone
1.47,0.35,8.72,0.14,0.05,0.13,1723210777983,cobblestone
1.46,0.56,7.37,0.03,0.07,0.06,1723210777992,cobblestone
1.64,-0.76,7.84,0.02,-0.0,-0.04,1723210778001,cobblestone
-0.03,-0.72,8.25,0.09,0.04,-0.15,1723210778010,cobblestone
-0.51,-0.25,7.66,0.17,-0.06,-0.09,1723210778019,cobblestone
-1.22,-1.69,5.78,0.08,0.03,-0.02,1723210778028,cobblestone
-0.52,-1.63,8.07,-0.26,0.03,-0.01,1723210778037,cobblestone
-1.15,0.56,12.38,-0.38,0.1,0.02,1723210778046,cobblestone
-0.6,-2.63,14.63,-0.04,0.03,0.1,1723210778055,cobblestone
-0.33,-3.77,13.14,0.09,0.01,0.13,1723210778064,cobblestone
-0.12,-1.29,9.19,0.11,0.06,0.03,1723210778073,cobblestone
0.02,-1.27,8.55,-0.13,-0.01,-0.02,1723210778082,cobblestone
-0.51,0.99,10.9,-0.14,0.05,-0.12,1723210778091,cobblestone
-0.61,-1.97,12.7,0.02,-0.05,-0.17,1723210778100,cobblestone
-1.39,1.84,11.99,0.27,0.02,-0.12,1723210778109,cobblestone
-1.39,3.63,8.66,0.26,-0.08,-0.09,1723210778118,cobblestone
-1.32,1.34,6.29,-0.03,0.0,-0.07,1723210778127,cobblestone
0.0,-1.03,11.18,-0.34,-0.03,0.09,1723210778136,cobblestone
0.17,1.89,13.3,-0.14,0.12,0.08,1723210778145,cobblestone
0.59,-0.83,11.11,0.18,-0.14,-0.07,1723210778154,cobblestone
-0.41,-0.2,8.4,-0.01,0.03,-0.26,1723210778163,cobblestone
-2.1,-1.36,9.09,-0.25,-0.05,-0.18,1723210778172,cobblestone
-2.67,-1.93,12.27,-0.26,0.08,-0.04,1723210778181,cobblestone
-2.53,-2.17,13.71,-0.15,-0.07,0.16,1723210778190,cobblestone
-0.86,2.66,13.74,0.03,0.01,0.25,1723210778199,cobblestone
0.8,0.12,11.49,0.19,-0.12,0.28,1723210778208,cobblestone
1.77,-0.92,9.58,0.07,0.05,0.14,1723210778217,cobblestone
2.01,2.49,9.89,-0.02,-0.01,0.03,1723210778226,cobblestone
1.63,0.63,10.09,0.21,-0.0,-0.08,1723210778235,cobblestone
0.34,2.25,6.89,0.34,-0.06,-0.15,1723210778244,cobblestone
-0.55,0.42,5.48,0.26,-0.07,-0.16,1723210778253,cobblestone
-1.1,0.51,7.58,-0.1,0.04,-0.06,1723210778262,cobblestone
-2.35,-0.04,10.28,-0.17,0.05,0.01,1723210778271,cobblestone
-2.43,3.68,10.92,0.06,0.03,0.11,1723210778280,cobblestone
-1.38,-1.12,8.54,0.13,-0.05,0.26,1723210778289,cobblestone
-0.13,-1.57,10.24,-0.25,0.07,0.22,1723210778298,cobblestone
0.61,0.66,14.6,-0.32,0.06,0.13,1723210778307,cobblestone
0.86,-0.58,15.53,0.07,-0.12,0.11,1723210778316,cobblestone
2.17,-2.13,11.38,-0.01,0.03,0.01,1723210778330,cobblestone
1.32,0.56,9.92,-0.08,0.04,-0.17,1723210778334,cobblestone
-0.83,0.6,11.13,-0.06,-0.09,-0.24,1723210778343,cobblestone
-2.54,-2.0,10.66,0.12,-0.11,-0.22,1723210778352,cobblestone
-4.02,-3.1,9.67,0.16,-0.08,-0.11,1723210778361,cobblestone
-2.7,-1.26,10.52,0.01,-0.09,0.15,1723210778370,cobblestone
-1.23,-1.77,10.2,0.04,-0.04,0.46,1723210778379,cobblestone
2.38,3.21,11.68,0.14,-0.05,0.48,1723210778388,cobblestone
3.58,2.51,10.3,0.28,-0.1,0.37,1723210778397,cobblestone
2.82,1.15,5.43,0.33,-0.03,0.1,1723210778406,cobblestone
2.52,0.89,6.17,-0.12,-0.08,-0.1,1723210778415,cobblestone
-0.16,-0.61,6.22,-0.18,-0.01,-0.23,1723210778424,cobblestone
-1.28,-2.38,8.21,-0.27,-0.16,-0.23,1723210778433,cobblestone
-1.99,-6.99,10.05,-0.16,-0.12,-0.06,1723210778442,cobblestone
-2.71,-3.26,11.25,-0.2,-0.16,0.13,1723210778451,cobblestone
-1.32,-7.46,12.88,-0.03,-0.15,0.36,1723210778460,cobblestone
-0.03,-1.74,11.67,0.06,-0.02,0.37,1723210778470,cobblestone
1.55,1.52,10.97,0.06,0.04,0.29,1723210778479,cobblestone
2.49,4.1,11.33,-0.05,0.02,0.22,1723210778488,cobblestone
2.18,4.64,13.16,-0.1,-0.0,-0.0,1723210778497,cobblestone
1.91,3.22,12.63,0.14,-0.1,-0.17,1723210778506,cobblestone
0.45,-4.92,10.73,-0.0,-0.15,-0.21,1723210778515,cobblestone
-1.13,-3.29,10.75,-0.1,-0.02,-0.18,1723210778524,cobblestone
-2.35,-1.85,10.02,0.07,-0.11,-0.03,1723210778533,cobblestone
-1.56,-0.68,7.7,0.32,-0.05,0.14,1723210778542,cobblestone
-0.22,1.69,6.09,0.21,-0.09,0.18,1723210778551,cobblestone
0.89,0.02,6.49,-0.05,-0.03,0.16,1723210778560,cobblestone
1.34,2.99,12.8,-0.33,0.03,0.05,1723210778569,cobblestone
0.57,0.06,16.27,-0.09,0.0,0.02,1723210778578,cobblestone
1.03,0.64,16.9,0.24,-0.09,-0.01,1723210778587,cobblestone
0.4,1.14,12.49,0.4,-0.04,-0.02,1723210778596,cobblestone
0.78,3.32,9.17,0.15,-0.02,-0.02,1723210778605,cobblestone
0.57,1.78,7.9,0.03,0.03,0.04,1723210778614,cobblestone
1.4,6.19,8.79,-0.07,0.08,0.02,1723210778623,cobblestone
0.98,-2.52,6.98,0.15,-0.05,-0.1,1723210778632,cobblestone
0.15,-6.49,5.35,0.08,-0.04,-0.18,1723210778641,cobblestone
-0.56,-0.21,6.11,-0.23,0.09,-0.18,1723210778650,cobblestone
-1.47,-3.46,11.64,-0.48,0.0,-0.19,1723210778659,cobblestone
-2.32,-2.59,17.93,-0.38,0.06,-0.11,1723210778668,cobblestone
-2.0,0.53,19.54,0.28,-0.02,0.16,1723210778677,cobblestone
-0.14,5.64,11.15,0.79,-0.1,0.22,1723210778686,cobblestone
1.4,6.78,5.36,0.43,0.12,0.15,1723210778695,cobblestone
1.57,1.16,4.68,-0.08,0.08,-0.01,1723210778704,cobblestone
2.0,-0.73,8.17,-0.29,0.14,-0.16,1723210778713,cobblestone
0.46,-1.29,9.56,0.03,0.03,-0.3,1723210778722,cobblestone
-0.81,-3.41,6.27,0.24,-0.11,-0.27,1723210778731,cobblestone
-0.51,-4.29,6.6,-0.09,0.02,-0.25,1723210778740,cobblestone
-1.06,2.49,9.82,-0.39,0.06,-0.13,1723210778749,cobblestone
-0.32,3.11,13.76,-0.25,0.12,-0.03,1723210778758,cobblestone
-0.06,0.9,13.44,-0.01,0.06,0.01,1723210778767,cobblestone
1.04,-3.59,10.28,-0.0,0.03,-0.12,1723210778776,cobblestone
0.38,-5.54,11.88,-0.51,0.15,-0.17,1723210778785,cobblestone
