AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
2.09,1.57,-3.77,1.54,0.23,-0.55,1723386243347,cobblestone
-7.74,5.79,-6.64,0.3,0.96,-0.14,1723386243357,cobblestone
-4.9,-25.36,13.63,0.01,-0.05,-0.51,1723386243367,cobblestone
0.84,2.69,20.46,-0.53,0.58,0.08,1723386243376,cobblestone
-2.36,1.99,-5.11,-1.55,0.47,0.13,1723386243385,cobblestone
-3.8,8.11,11.69,-1.45,-0.07,0.32,1723386243394,cobblestone
-2.42,23.64,21.46,-0.6,0.25,0.13,1723386243403,cobblestone
2.94,2.16,12.3,1.55,-0.3,-0.17,1723386243413,cobblestone
10.47,-72.94,6.66,1.22,0.47,-1.26,1723386243422,cobblestone
-4.22,-28.76,9.54,-0.36,0.27,-0.54,1723386243431,cobblestone
-1.55,-3.88,1.18,-1.38,-0.32,0.02,1723386243440,cobblestone
-5.49,-7.57,26.45,-2.35,1.13,-1.04,1723386243449,cobblestone
-0.97,5.77,18.55,1.7,-1.13,-0.02,1723386243458,cobblestone
-12.39,28.96,30.09,0.4,-0.29,0.72,1723386243467,cobblestone
0.34,17.0,8.37,1.33,-0.06,0.3,1723386243476,cobblestone
-0.26,-12.14,11.56,0.41,-0.21,0.04,1723386243485,cobblestone
1.96,-27.78,5.03,-0.72,0.41,-0.7,1723386243494,cobblestone
6.91,-5.89,-3.63,0.03,0.43,0.02,1723386243503,cobblestone
2.48,-4.0,14.26,-1.27,0.39,-0.54,1723386243512,cobblestone
-0.9,-5.1,6.25,-1.13,-0.46,-0.37,1723386243521,cobblestone
-0.74,-5.49,26.2,-1.77,1.1,-1.31,1723386243530,cobblestone
0.5,15.46,23.57,2.04,-1.61,-0.25,1723386243539,cobblestone
-5.43,12.41,21.8,1.59,0.68,0.5,1723386243548,cobblestone
4.81,-2.75,1.48,2.13,-0.26,0.25,1723386243557,cobblestone
-2.7,-11.99,13.3,0.57,0.74,0.12,1723386243566,cobblestone
-3.44,20.54,12.55,-2.87,0.77,0.63,1723386243575,cobblestone
-0.21,-9.4,15.65,-2.81,-0.45,-0.65,1723386243584,cobblestone
-1.83,-4.41,42.67,-0.82,0.47,-0.44,1723386243593,cobblestone
-5.01,11.3,26.69,1.3,-0.29,0.01,1723386243602,cobblestone
-2.78,7.47,7.66,2.51,-1.29,0.78,1723386243611,cobblestone
4.53,-3.37,-1.31,1.54,0.6,0.08,1723386243620,cobblestone
-1.47,-11.17,5.67,0.64,0.51,-0.4,1723386243630,cobblestone
-3.66,7.65,0.29,-0.1,-0.37,0.41,1723386243640,cobblestone
3.93,6.41,1.13,-0.47,0.12,-0.41,1723386243649,cobblestone
-1.66,0.98,-0.24,0.1,-0.47,-0.11,1723386243659,cobblestone
