AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-5.27,-6.05,19.67,-0.58,0.52,-0.68,1723210838182,cobblestone
-7.59,-4.05,16.62,0.52,-0.03,-0.04,1723210838192,cobblestone
-4.13,4.58,7.57,0.66,0.26,0.24,1723210838201,cobblestone
-1.03,-0.27,2.89,0.12,0.26,0.43,1723210838210,cobblestone
1.29,3.31,5.67,-0.53,0.3,0.27,1723210838219,cobblestone
1.42,0.03,10.45,-0.63,0.31,-0.01,1723210838228,cobblestone
0.75,-5.81,15.5,-0.52,0.16,-0.17,1723210838237,cobblestone
-0.72,-5.14,17.42,-0.03,0.25,-0.27,1723210838246,cobblestone
-2.34,-1.72,13.41,0.45,0.06,-0.27,1723210838255,cobblestone
-3.09,-1.6,7.96,0.46,0.08,-0.15,1723210838264,cobblestone
-2.67,3.35,5.21,0.16,0.15,-0.04,1723210838273,cobblestone
-2.3,3.48,6.42,-0.13,0.14,0.03,1723210838282,cobblestone
-1.85,0.95,10.46,-0.32,0.22,0.02,1723210838291,cobblestone
-1.88,-1.16,12.7,-0.23,0.1,-0.07,1723210838300,cobblestone
-2.17,-7.09,14.12,-0.1,0.08,-0.13,1723210838309,cobblestone
-3.29,-4.72,13.55,0.04,0.06,-0.1,1723210838318,cobblestone
-3.37,-5.01,11.75,0.26,-0.01,-0.03,1723210838327,cobblestone
-2.77,1.68,9.52,0.26,0.01,0.11,1723210838336,cobblestone
-2.02,0.98,6.44,0.23,-0.12,0.21,1723210838345,cobblestone
-1.29,0.75,6.41,-0.05,-0.01,0.19,1723210838354,cobblestone
-0.77,0.59,10.84,-0.35,-0.02,0.19,1723210838363,cobblestone
-0.99,-0.05,14.64,-0.23,0.03,0.13,1723210838372,cobblestone
-1.3,-0.9,13.57,0.1,-0.17,0.19,1723210838382,cobblestone
-0.98,-1.97,10.06,0.19,-0.16,0.22,1723210838391,cobblestone
-0.39,-0.37,8.1,0.06,-0.12,0.31,1723210838400,cobblestone
0.74,0.72,8.71,0.03,-0.09,0.31,1723210838409,cobblestone
1.06,1.89,8.72,0.09,-0.08,0.18,1723210838418,cobblestone
0.78,1.46,8.3,0.14,-0.2,0.13,1723210838427,cobblestone
0.03,1.23,8.67,0.07,-0.12,0.09,1723210838436,cobblestone
-0.33,1.99,10.97,-0.01,-0.11,0.14,1723210838445,cobblestone
-0.2,3.2,12.79,0.1,-0.13,0.19,1723210838454,cobblestone
0.35,3.82,12.29,0.19,-0.17,0.26,1723210838463,cobblestone
1.44,5.7,9.99,0.16,-0.2,0.25,1723210838472,cobblestone
1.97,1.49,8.16,0.03,-0.16,0.26,1723210838481,cobblestone
2.88,0.49,8.93,-0.17,-0.11,0.19,1723210838490,cobblestone
2.34,-0.78,10.92,-0.25,-0.06,-0.02,1723210838499,cobblestone
1.2,-1.33,12.76,-0.11,-0.11,-0.12,1723210838508,cobblestone
-0.73,-0.85,12.21,0.11,-0.13,-0.13,1723210838517,cobblestone
-1.79,0.32,10.09,0.23,-0.19,0.02,1723210838526,cobblestone
-1.03,0.72,6.96,0.2,-0.19,0.23,1723210838535,cobblestone
-0.09,1.62,5.36,0.01,-0.05,0.28,1723210838544,cobblestone
1.12,-0.45,7.35,-0.22,-0.11,0.29,1723210838553,cobblestone
1.87,-2.72,11.76,-0.36,0.02,0.14,1723210838562,cobblestone
0.96,-0.98,14.82,-0.13,-0.08,0.0,1723210838571,cobblestone
-0.08,-0.79,13.38,0.32,-0.16,-0.11,1723210838580,cobblestone
-1.11,-0.53,7.04,0.34,-0.18,-0.05,1723210838589,cobblestone
-0.26,1.15,5.62,0.13,-0.15,0.01,1723210838598,cobblestone
-0.63,-1.76,4.97,-0.12,-0.08,0.1,1723210838607,cobblestone
0.23,-0.61,7.93,-0.38,-0.02,0.11,1723210838616,cobblestone
0.32,-4.15,12.04,-0.47,-0.01,0.04,1723210838625,cobblestone
0.42,-2.03,15.48,-0.49,-0.06,-0.04,1723210838634,cobblestone
-0.37,-4.94,16.54,-0.14,-0.15,-0.09,1723210838643,cobblestone
-0.97,-3.58,12.42,0.15,-0.18,-0.1,1723210838652,cobblestone
-1.52,-2.44,7.48,0.15,-0.23,-0.08,1723210838661,cobblestone
-1.72,-2.82,6.32,-0.05,-0.09,-0.07,1723210838670,cobblestone
-1.93,0.34,8.12,-0.26,-0.07,0.02,1723210838679,cobblestone
-1.4,1.28,12.05,-0.2,-0.08,0.12,1723210838688,cobblestone
-0.75,2.92,13.99,-0.12,-0.08,0.2,1723210838697,cobblestone
1.49,3.44,14.03,0.04,-0.19,0.25,1723210838706,cobblestone
3.11,4.61,12.27,0.04,-0.07,0.17,1723210838715,cobblestone
3.03,1.7,10.11,0.05,-0.18,-0.03,1723210838724,cobblestone
1.93,1.69,8.04,0.01,-0.07,-0.21,1723210838733,cobblestone
-0.12,-1.67,8.63,-0.04,-0.11,-0.28,1723210838742,cobblestone
-1.53,-1.34,8.4,-0.02,-0.1,-0.18,1723210838751,cobblestone
-1.28,-1.58,9.54,0.09,-0.1,0.01,1723210838760,cobblestone
-0.75,-2.48,9.7,0.07,-0.12,0.12,1723210838769,cobblestone
0.67,0.31,11.46,-0.14,-0.01,0.09,1723210838778,cobblestone
1.07,-1.51,14.0,-0.05,-0.06,0.01,1723210838787,cobblestone
0.81,-1.11,13.25,0.15,-0.11,-0.08,1723210838796,cobblestone
0.22,-1.78,9.99,0.21,-0.09,-0.05,1723210838805,cobblestone
0.25,-1.16,9.38,0.18,-0.03,-0.11,1723210838814,cobblestone
-0.37,0.26,10.22,0.12,-0.01,-0.11,1723210838823,cobblestone
0.23,-2.63,13.22,0.12,-0.06,0.0,1723210838832,cobblestone
0.22,1.03,11.57,0.42,-0.02,0.03,1723210838841,cobblestone
2.21,3.09,8.01,0.39,-0.09,0.09,1723210838850,cobblestone
2.8,2.64,8.14,0.06,0.13,-0.03,1723210838859,cobblestone
1.76,1.95,8.71,-0.15,0.03,-0.23,1723210838868,cobblestone
1.38,-0.96,13.45,-0.19,0.11,-0.33,1723210838877,cobblestone
-0.29,-2.6,14.11,0.1,0.01,-0.23,1723210838886,cobblestone
-0.15,-2.56,11.99,0.31,0.04,-0.14,1723210838895,cobblestone
-0.24,-2.27,9.58,0.25,0.02,-0.12,1723210838904,cobblestone
0.91,1.11,10.02,0.14,0.12,-0.05,1723210838913,cobblestone
1.5,4.09,10.9,0.12,0.2,-0.1,1723210838922,cobblestone
1.1,2.6,9.44,0.31,0.07,-0.12,1723210838932,cobblestone
0.53,2.23,6.59,0.16,0.22,-0.14,1723210838941,cobblestone
0.46,2.38,6.55,-0.12,0.21,-0.12,1723210838950,cobblestone
0.36,0.15,10.67,-0.26,0.28,-0.13,1723210838959,cobblestone
0.82,-0.53,12.23,-0.04,0.23,-0.07,1723210838968,cobblestone
1.69,-0.64,11.45,0.18,0.25,-0.14,1723210838977,cobblestone
1.28,0.04,8.47,0.15,0.21,-0.28,1723210838986,cobblestone
0.17,1.8,7.96,-0.12,0.27,-0.42,1723210838995,cobblestone
-1.65,2.12,9.71,-0.18,0.24,-0.44,1723210839004,cobblestone
-2.61,-0.65,9.15,0.09,0.11,-0.33,1723210839013,cobblestone
-2.63,-2.49,6.32,0.1,0.16,-0.23,1723210839022,cobblestone
-2.47,-3.06,5.96,-0.16,0.19,-0.15,1723210839031,cobblestone
-2.21,-5.52,10.31,-0.44,0.27,-0.09,1723210839040,cobblestone
-2.49,-3.94,15.47,-0.28,0.23,-0.07,1723210839049,cobblestone
-1.77,-1.42,17.15,0.06,0.16,0.03,1723210839058,cobblestone
-0.16,-2.06,13.87,0.36,0.06,0.11,1723210839067,cobblestone
1.55,0.41,8.14,0.25,0.19,0.04,1723210839076,cobblestone
1.57,0.21,4.95,-0.06,0.24,-0.06,1723210839085,cobblestone
1.35,-4.03,6.89,-0.38,0.19,-0.25,1723210839094,cobblestone
0.49,-2.39,10.19,-0.39,0.28,-0.4,1723210839103,cobblestone
-1.72,-6.83,13.18,-0.25,0.12,-0.42,1723210839112,cobblestone
-2.88,-4.53,14.28,-0.09,0.23,-0.26,1723210839121,cobblestone
-3.35,-1.72,11.19,0.12,0.13,-0.05,1723210839130,cobblestone
-1.7,-3.79,9.22,0.02,0.11,0.1,1723210839139,cobblestone
-0.2,-2.55,9.4,-0.24,0.24,0.19,1723210839148,cobblestone
1.13,-0.41,12.65,-0.27,0.26,0.14,1723210839157,cobblestone
1.3,-1.25,13.97,-0.04,0.2,0.03,1723210839166,cobblestone
1.0,-1.77,10.98,0.2,0.12,-0.1,1723210839175,cobblestone
0.56,0.17,8.55,0.15,0.2,-0.16,1723210839184,cobblestone
-0.84,0.26,7.76,0.12,0.14,-0.2,1723210839193,cobblestone
-1.75,3.17,8.11,0.04,0.15,-0.12,1723210839202,cobblestone
-1.73,3.33,9.92,0.02,0.12,0.02,1723210839211,cobblestone
-1.94,-0.42,10.73,-0.0,0.14,0.07,1723210839220,cobblestone
-1.85,1.13,12.33,-0.07,0.18,0.08,1723210839229,cobblestone
-1.19,-0.79,13.51,0.06,0.08,0.06,1723210839238,cobblestone
-1.38,-2.23,11.1,0.22,0.06,0.1,1723210839247,cobblestone
-1.05,-3.38,9.58,0.19,0.02,0.1,1723210839256,cobblestone
-0.83,-1.74,9.85,0.08,0.1,0.04,1723210839265,cobblestone
-0.87,-2.27,10.9,0.09,-0.01,0.06,1723210839274,cobblestone
-1.21,0.42,11.67,0.16,0.08,0.05,1723210839283,cobblestone
-1.76,2.83,9.94,0.28,-0.08,0.08,1723210839292,cobblestone
-1.93,-1.28,9.32,0.11,0.03,0.04,1723210839301,cobblestone
-2.9,-2.14,9.62,-0.12,0.02,0.05,1723210839310,cobblestone
-2.68,-2.23,11.53,0.04,-0.09,0.09,1723210839319,cobblestone
-2.54,-5.41,9.3,0.3,-0.16,0.17,1723210839328,cobblestone
-1.23,-3.56,7.66,0.22,-0.15,0.18,1723210839337,cobblestone
-0.88,5.11,9.97,0.06,-0.06,0.2,1723210839351,cobblestone
0.06,7.08,10.99,0.07,-0.05,0.25,1723210839355,cobblestone
-0.39,6.69,9.62,0.23,-0.2,0.23,1723210839364,cobblestone
-0.49,6.3,5.82,0.02,-0.2,0.16,1723210839373,cobblestone
-0.9,-3.83,6.51,-0.32,-0.3,0.16,1723210839383,cobblestone
-1.08,-5.76,10.3,-0.42,-0.13,0.3,1723210839392,cobblestone
0.63,-3.28,13.24,-0.07,-0.24,0.48,1723210839401,cobblestone
2.42,-1.43,11.02,0.32,-0.15,0.54,1723210839410,cobblestone
4.49,1.42,8.33,0.27,-0.08,0.48,1723210839419,cobblestone
5.36,3.66,8.59,-0.01,-0.0,0.28,1723210839428,cobblestone
5.03,3.63,10.99,-0.22,-0.08,-0.09,1723210839437,cobblestone
2.76,4.81,13.12,-0.14,-0.09,-0.39,1723210839446,cobblestone
-1.02,0.55,11.93,-0.06,-0.28,-0.56,1723210839455,cobblestone
-3.51,-0.03,12.43,-0.19,-0.2,-0.52,1723210839464,cobblestone
-5.77,-4.89,12.88,-0.02,-0.26,-0.14,1723210839473,cobblestone
-5.65,-3.38,9.29,0.25,-0.2,0.34,1723210839482,cobblestone
-2.32,-3.9,6.0,0.35,-0.25,0.73,1723210839491,cobblestone
2.22,5.12,3.81,0.44,0.09,0.85,1723210839500,cobblestone
3.31,5.77,-0.31,0.28,0.11,0.67,1723210839509,cobblestone
5.6,1.73,4.16,-0.65,-0.03,0.44,1723210839518,cobblestone
6.83,1.68,10.44,-1.04,0.08,-0.14,1723210839527,cobblestone
2.27,-9.77,23.71,-1.28,-0.3,-0.7,1723210839536,cobblestone
-1.46,-3.24,31.72,-0.28,-0.24,-1.01,1723210839545,cobblestone
-9.74,-6.52,21.4,1.05,-0.52,-0.71,1723210839554,cobblestone
-8.83,-1.24,8.52,1.43,-0.79,-0.14,1723210839563,cobblestone
-7.69,1.42,-0.66,0.89,-0.06,0.38,1723210839572,cobblestone
-3.67,-1.01,-0.49,0.1,-0.05,0.84,1723210839581,cobblestone
0.89,-1.04,2.59,-0.64,-0.13,0.95,1723210839590,cobblestone
3.83,0.07,7.4,-1.21,0.21,0.78,1723210839599,cobblestone
5.38,1.05,18.73,-1.24,0.1,0.4,1723210839608,cobblestone
7.15,1.86,21.37,0.13,-0.6,-0.17,1723210839617,cobblestone
4.56,-0.99,15.12,0.67,0.08,-0.73,1723210839626,cobblestone
0.19,-0.69,5.12,0.63,-0.97,-0.9,1723210839635,cobblestone
-0.34,-1.31,3.87,-0.03,0.1,-0.94,1723210839644,cobblestone
-7.59,-0.49,1.96,-0.25,-0.08,-0.48,1723210839653,cobblestone
-6.5,-1.83,5.9,-0.16,-0.18,0.25,1723210839662,cobblestone
-3.9,-1.66,8.06,-0.37,0.02,0.64,1723210839671,cobblestone
1.88,-3.15,10.68,-0.44,0.14,0.81,1723210839680,cobblestone
4.43,1.25,13.48,-0.49,0.33,0.54,1723210839689,cobblestone
5.84,-1.63,17.74,-0.06,-0.27,0.15,1723210839698,cobblestone
6.87,-0.28,17.47,0.26,-0.0,-0.3,1723210839707,cobblestone
3.26,-0.35,7.81,0.55,-0.24,-0.56,1723210839716,cobblestone
1.85,-1.03,5.54,0.35,-0.27,-0.64,1723210839725,cobblestone
-0.56,-1.68,4.43,0.1,-0.09,-0.56,1723210839734,cobblestone
-1.43,-1.32,6.32,-0.22,-0.03,-0.36,1723210839743,cobblestone
-2.15,-2.85,11.2,-0.52,0.05,-0.11,1723210839752,cobblestone
-1.29,-0.91,17.42,-0.46,0.12,0.09,1723210839761,cobblestone
-0.08,-1.35,17.88,0.02,0.06,0.18,1723210839770,cobblestone
2.88,0.43,13.64,0.35,-0.01,0.1,1723210839779,cobblestone
3.63,-0.54,9.71,0.17,0.27,-0.18,1723210839788,cobblestone
1.49,-5.39,7.83,-0.08,0.03,-0.41,1723210839797,cobblestone
0.48,-3.13,11.4,-0.24,0.26,-0.65,1723210839806,cobblestone
-1.98,1.54,12.96,-0.05,0.08,-0.57,1723210839815,cobblestone
-2.04,1.05,13.52,0.31,0.11,-0.35,1723210839824,cobblestone
-2.0,1.31,7.96,0.31,0.06,-0.1,1723210839833,cobblestone
0.35,2.6,6.68,-0.0,0.22,-0.04,1723210839842,cobblestone
1.69,2.41,7.91,-0.23,0.26,-0.02,1723210839851,cobblestone
2.98,-2.38,12.14,-0.23,0.29,-0.12,1723210839860,cobblestone
1.98,-1.62,11.97,0.08,0.24,-0.34,1723210839869,cobblestone
1.5,-1.75,9.71,0.29,0.12,-0.44,1723210839878,cobblestone
-0.68,-2.46,7.19,0.22,0.19,-0.47,1723210839887,cobblestone
