AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-1.64,1.88,12.96,0.11,0.07,-0.27,1723210953161,cobblestone
-0.38,0.91,13.84,0.1,0.19,-0.19,1723210953170,cobblestone
-0.57,1.06,12.15,0.04,0.11,-0.15,1723210953179,cobblestone
0.69,-1.37,12.65,0.14,0.12,-0.14,1723210953188,cobblestone
0.8,0.37,10.53,0.24,0.15,-0.1,1723210953197,cobblestone
1.87,-0.21,9.11,0.18,0.19,-0.17,1723210953206,cobblestone
1.04,3.47,8.0,0.14,0.21,-0.28,1723210953215,cobblestone
0.45,0.55,8.23,0.21,0.18,-0.33,1723210953224,cobblestone
-1.18,2.17,7.94,0.15,0.28,-0.36,1723210953233,cobblestone
-1.51,1.86,8.32,0.13,0.14,-0.32,1723210953242,cobblestone
-3.04,-3.47,7.46,0.01,0.24,-0.27,1723210953251,cobblestone
-2.63,-2.49,11.45,-0.34,0.29,-0.15,1723210953260,cobblestone
-2.3,-0.54,14.54,-0.22,0.28,-0.08,1723210953269,cobblestone
-1.21,-0.51,15.11,0.09,0.17,-0.04,1723210953278,cobblestone
-0.33,-0.43,10.69,0.4,0.09,-0.11,1723210953288,cobblestone
-0.62,-2.35,6.42,0.19,0.16,-0.23,1723210953297,cobblestone
-1.01,1.2,6.54,-0.0,0.2,-0.28,1723210953306,cobblestone
-2.29,-1.92,8.24,-0.0,0.11,-0.26,1723210953315,cobblestone
-3.27,0.75,9.53,0.03,0.17,-0.15,1723210953324,cobblestone
-2.79,-0.43,8.59,0.18,0.1,-0.03,1723210953333,cobblestone
-1.56,0.3,6.92,-0.11,0.16,0.12,1723210953342,cobblestone
0.1,0.26,8.01,-0.27,0.21,0.06,1723210953351,cobblestone
0.16,-2.04,10.34,-0.27,0.1,-0.07,1723210953360,cobblestone
-0.27,-5.27,11.12,-0.19,0.11,-0.1,1723210953369,cobblestone
0.03,-3.32,13.09,-0.28,0.14,-0.08,1723210953378,cobblestone
-0.38,-1.92,13.21,-0.08,0.1,-0.07,1723210953387,cobblestone
-0.73,-0.24,11.87,0.05,0.05,-0.09,1723210953396,cobblestone
-1.33,-0.57,9.37,0.17,0.04,-0.08,1723210953405,cobblestone
-1.48,-0.31,7.57,0.02,0.07,-0.05,1723210953414,cobblestone
-0.92,2.62,9.07,-0.21,0.16,-0.04,1723210953423,cobblestone
-1.15,0.68,13.1,-0.22,0.08,0.0,1723210953432,cobblestone
-1.44,0.4,14.37,-0.05,0.08,0.02,1723210953441,cobblestone
-1.47,0.62,14.36,-0.01,0.05,-0.02,1723210953450,cobblestone
-1.53,0.98,10.81,0.08,0.01,0.01,1723210953459,cobblestone
-0.88,-0.28,10.0,-0.03,0.04,0.04,1723210953468,cobblestone
-0.65,0.36,10.74,-0.16,0.03,-0.02,1723210953477,cobblestone
-0.75,1.59,12.84,-0.08,0.04,-0.08,1723210953486,cobblestone
-1.14,1.43,12.53,0.15,-0.02,-0.09,1723210953495,cobblestone
-1.39,2.18,8.94,0.21,-0.03,-0.08,1723210953504,cobblestone
-1.88,1.46,6.98,0.15,-0.02,0.01,1723210953513,cobblestone
-1.55,-1.21,9.61,-0.13,0.0,0.02,1723210953522,cobblestone
-1.45,6.45,12.71,-0.1,0.1,0.15,1723210953531,cobblestone
-0.56,1.3,12.57,0.32,-0.25,0.23,1723210953540,cobblestone
-0.22,-1.02,10.08,0.04,0.01,0.2,1723210953549,cobblestone
