AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
2.56,-0.52,0.07,-0.08,-0.71,0.66,1723212169259,cobblestone
3.92,-2.19,1.32,-1.17,0.42,0.27,1723212169268,cobblestone
1.58,2.32,3.26,-1.56,-0.32,0.36,1723212169277,cobblestone
4.61,2.41,17.12,-0.67,-0.56,0.16,1723212169286,cobblestone
0.92,-4.88,21.71,-0.42,0.33,0.01,1723212169295,cobblestone
0.87,-0.78,17.35,1.36,-1.03,0.01,1723212169304,cobblestone
-0.29,0.55,6.55,0.63,-0.09,0.15,1723212169313,cobblestone
1.5,1.12,3.59,0.16,-0.15,0.12,1723212169322,cobblestone
0.49,1.45,6.9,-0.33,-0.16,0.23,1723212169331,cobblestone
1.27,-4.53,13.46,-0.3,-0.09,0.16,1723212169340,cobblestone
1.11,0.69,16.94,-0.13,-0.12,0.08,1723212169349,cobblestone
2.2,0.99,19.05,0.44,-0.35,0.27,1723212169358,cobblestone
1.93,3.85,11.12,0.82,-0.26,0.33,1723212169367,cobblestone
2.93,2.78,1.51,0.64,-0.2,0.2,1723212169376,cobblestone
3.7,0.46,2.49,0.03,-0.07,-0.0,1723212169385,cobblestone
1.12,-6.74,6.39,-0.54,-0.08,-0.39,1723212169394,cobblestone
1.04,1.09,15.22,-0.6,-0.24,-0.35,1723212169404,cobblestone
-1.57,-0.32,19.04,-0.12,-0.02,-0.17,1723212169413,cobblestone
-1.75,-2.21,12.78,0.66,-0.31,0.12,1723212169422,cobblestone
-0.34,2.25,6.12,0.47,-0.3,0.2,1723212169431,cobblestone
1.03,-0.62,5.3,0.02,-0.08,0.31,1723212169440,cobblestone
2.0,1.31,5.88,0.03,-0.1,0.21,1723212169449,cobblestone
2.81,2.47,7.1,-0.34,0.03,0.14,1723212169458,cobblestone
3.2,-3.05,10.48,-0.39,-0.13,-0.14,1723212169467,cobblestone
2.55,-0.39,13.55,-0.44,-0.03,-0.36,1723212169476,cobblestone
1.5,-3.02,13.71,-0.06,-0.15,-0.35,1723212169485,cobblestone
0.18,-4.25,6.63,0.38,-0.21,-0.5,1723212169494,cobblestone
0.51,-6.53,5.76,0.02,-0.19,-0.67,1723212169503,cobblestone
-1.46,1.84,6.66,-0.29,-0.01,-0.5,1723212169512,cobblestone
-2.35,3.12,9.45,-0.39,-0.04,-0.39,1723212169521,cobblestone
-2.73,-3.46,13.95,-0.39,0.08,-0.25,1723212169530,cobblestone
-1.77,4.36,12.96,-0.07,-0.12,0.01,1723212169539,cobblestone
-0.28,-7.2,10.22,-0.12,-0.11,-0.07,1723212169548,cobblestone
0.82,-7.39,13.07,-0.81,0.08,-0.05,1723212169557,cobblestone
2.31,-2.97,19.76,-0.74,0.13,-0.13,1723212169566,cobblestone
1.13,1.42,18.42,-0.1,0.11,-0.33,1723212169575,cobblestone
0.75,0.28,10.39,0.54,-0.16,-0.31,1723212169584,cobblestone
0.36,1.71,4.26,0.37,0.01,-0.44,1723212169593,cobblestone
-0.71,-0.32,2.53,-0.15,0.0,-0.46,1723212169602,cobblestone
-1.21,1.31,7.44,-0.69,0.2,-0.42,1723212169611,cobblestone
-3.03,-2.18,16.17,-0.86,0.23,-0.38,1723212169620,cobblestone
-2.82,-1.24,21.74,-0.41,0.16,-0.16,1723212169629,cobblestone
-1.31,2.88,16.95,0.43,0.01,-0.02,1723212169638,cobblestone
1.98,0.13,9.47,0.54,0.03,0.03,1723212169647,cobblestone
2.32,1.7,6.48,-0.0,0.36,-0.24,1723212169656,cobblestone
-0.22,5.41,8.12,-0.22,0.18,-0.3,1723212169665,cobblestone
0.76,-0.76,7.77,0.08,0.18,-0.78,1723212169674,cobblestone
-1.67,2.05,3.96,-0.09,0.03,-0.89,1723212169683,cobblestone
-3.16,-2.78,6.97,-0.26,0.0,-1.06,1723212169692,cobblestone
-6.75,-1.54,12.82,-0.78,0.37,-0.58,1723212169701,cobblestone
-5.33,0.74,19.43,-0.42,0.03,-0.32,1723212169710,cobblestone
-4.25,-2.09,17.88,-0.01,0.25,-0.19,1723212169719,cobblestone
-0.97,-6.69,11.09,0.46,0.07,-0.06,1723212169728,cobblestone
0.84,3.98,7.51,0.29,0.14,-0.21,1723212169737,cobblestone
-0.97,6.84,7.22,-0.1,0.4,-0.16,1723212169746,cobblestone
0.37,-2.63,10.78,0.08,0.15,-0.67,1723212169755,cobblestone
-2.21,4.59,13.0,-0.01,0.25,-0.67,1723212169764,cobblestone
-3.62,8.4,16.03,0.07,0.08,-0.49,1723212169773,cobblestone
-4.08,0.74,13.21,0.19,0.12,-0.27,1723212169782,cobblestone
-2.15,-1.17,10.12,0.12,-0.09,-0.14,1723212169791,cobblestone
-2.25,0.36,8.42,-0.17,0.21,-0.1,1723212169800,cobblestone
-0.18,-1.29,8.52,-0.06,0.02,-0.07,1723212169809,cobblestone
0.96,-0.04,9.62,-0.19,0.22,-0.17,1723212169818,cobblestone
0.28,-3.21,10.11,-0.15,0.13,-0.28,1723212169827,cobblestone
0.57,-3.36,10.59,0.08,0.13,-0.35,1723212169836,cobblestone
-1.22,0.55,10.23,0.02,0.1,-0.42,1723212169845,cobblestone
-2.77,-0.31,12.5,0.07,0.12,-0.2,1723212169854,cobblestone
-1.97,1.84,13.81,0.19,0.14,-0.0,1723212169863,cobblestone
-0.63,4.07,11.61,0.44,0.01,0.09,1723212169872,cobblestone
0.05,-0.62,7.58,0.27,0.17,-0.0,1723212169881,cobblestone
0.44,0.04,8.87,0.04,0.14,-0.16,1723212169890,cobblestone
0.1,3.51,10.63,0.06,0.16,-0.24,1723212169899,cobblestone
-0.73,2.68,6.73,0.54,0.09,-0.13,1723212169908,cobblestone
-0.16,-0.39,3.09,0.47,-0.01,-0.3,1723212169917,cobblestone
-1.83,-3.57,3.98,-0.28,0.09,-0.43,1723212169926,cobblestone
-1.87,3.93,8.19,-0.52,-0.01,-0.17,1723212169935,cobblestone
-2.49,-1.01,14.18,-0.32,0.32,-0.13,1723212169944,cobblestone
-3.1,-6.01,13.35,-0.05,0.0,0.02,1723212169954,cobblestone
-0.28,0.91,16.51,-0.15,-0.08,0.0,1723212169963,cobblestone
-1.23,-0.06,18.43,-0.39,0.3,-0.02,1723212169972,cobblestone
-0.16,-1.52,16.74,0.43,-0.02,-0.02,1723212169981,cobblestone
0.21,-3.87,8.52,0.62,-0.03,-0.13,1723212169990,cobblestone
-0.16,-1.11,5.21,0.25,0.03,-0.27,1723212169999,cobblestone
-1.24,4.25,6.8,-0.22,0.03,-0.18,1723212170008,cobblestone
-1.54,0.6,10.57,0.07,0.03,-0.11,1723212170017,cobblestone
-2.14,1.5,8.19,0.56,-0.03,-0.0,1723212170026,cobblestone
-1.65,4.17,2.46,0.56,-0.13,0.04,1723212170035,cobblestone
-1.29,-1.07,3.65,-0.13,0.02,-0.04,1723212170044,cobblestone
-1.66,-0.16,9.25,-0.87,0.11,0.13,1723212170053,cobblestone
-0.36,-1.63,15.89,-0.47,0.11,0.28,1723212170062,cobblestone
0.56,-1.07,14.08,0.13,0.17,0.19,1723212170071,cobblestone
2.1,-0.81,7.02,0.63,-0.14,0.12,1723212170080,cobblestone
1.82,-2.69,4.1,0.03,0.12,-0.03,1723212170089,cobblestone
2.66,2.17,8.19,-0.57,0.04,-0.06,1723212170098,cobblestone
1.52,1.51,13.99,-0.49,0.17,-0.2,1723212170107,cobblestone
0.04,-1.2,14.77,0.04,0.03,-0.23,1723212170116,cobblestone
0.05,-1.7,10.08,0.42,-0.13,-0.19,1723212170125,cobblestone
-0.47,-5.52,7.17,0.02,-0.03,-0.2,1723212170134,cobblestone
-1.18,-0.9,11.85,-0.41,0.16,-0.22,1723212170143,cobblestone
-1.5,-0.68,17.98,-0.27,0.04,-0.08,1723212170152,cobblestone
-0.51,4.74,18.24,0.38,0.14,0.15,1723212170161,cobblestone
0.0,5.09,9.64,0.82,-0.03,0.21,1723212170170,cobblestone
4.58,3.1,2.71,0.48,0.13,-0.07,1723212170179,cobblestone
2.32,-2.91,2.82,-0.09,0.14,-0.26,1723212170188,cobblestone
1.31,-2.95,7.5,-0.49,0.1,-0.36,1723212170197,cobblestone
-0.33,0.33,12.55,-0.52,0.14,-0.38,1723212170206,cobblestone
-1.83,-3.09,15.14,-0.03,0.09,-0.29,1723212170215,cobblestone
-2.09,-3.63,12.07,0.23,0.09,-0.26,1723212170224,cobblestone
-2.13,-2.13,11.48,-0.02,0.1,-0.14,1723212170233,cobblestone
-1.3,3.45,14.0,-0.07,0.21,-0.06,1723212170242,cobblestone
