AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
2.56,-3.5,10.17,-0.63,0.02,-0.12,1723210893173,cobblestone
0.96,4.76,18.51,-0.59,0.24,-0.43,1723210893182,cobblestone
-1.01,1.69,23.48,0.17,-0.07,-0.5,1723210893191,cobblestone
-3.25,1.17,15.12,0.83,0.02,-0.39,1723210893200,cobblestone
-2.19,2.24,7.22,0.46,-0.3,-0.13,1723210893209,cobblestone
-0.45,3.77,5.04,0.02,0.22,-0.08,1723210893218,cobblestone
-1.01,0.37,6.19,-0.42,-0.1,-0.01,1723210893227,cobblestone
0.73,-5.89,12.05,-0.18,0.13,-0.04,1723210893236,cobblestone
-0.18,-0.41,9.69,0.16,0.0,-0.07,1723210893245,cobblestone
0.91,-1.32,7.85,0.21,-0.01,-0.19,1723210893254,cobblestone
-1.56,-0.21,5.92,-0.12,0.15,-0.31,1723210893263,cobblestone
-2.22,0.55,10.7,-0.14,0.0,-0.24,1723210893273,cobblestone
-3.02,-1.42,12.48,0.11,0.07,-0.12,1723210893282,cobblestone
-2.17,-0.37,11.53,0.12,-0.03,0.06,1723210893291,cobblestone
-0.43,-1.77,10.31,-0.08,0.15,0.08,1723210893300,cobblestone
0.43,0.39,12.91,-0.19,0.11,-0.01,1723210893309,cobblestone
0.24,0.35,13.08,0.13,0.05,-0.11,1723210893318,cobblestone
0.31,1.19,8.22,0.4,-0.05,-0.16,1723210893327,cobblestone
-0.13,-0.82,3.97,0.3,0.0,-0.16,1723210893336,cobblestone
-0.07,-1.44,3.1,0.01,0.07,-0.25,1723210893345,cobblestone
-0.4,-1.55,4.91,-0.29,0.06,-0.29,1723210893354,cobblestone
-1.11,-2.67,9.55,-0.47,0.06,-0.33,1723210893363,cobblestone
-1.4,0.33,15.75,-0.43,0.19,-0.22,1723210893372,cobblestone
-2.01,0.1,17.7,0.21,0.06,-0.08,1723210893381,cobblestone
-1.19,-0.55,11.51,0.62,0.01,0.03,1723210893390,cobblestone
0.26,-3.19,9.01,0.01,0.08,0.06,1723210893399,cobblestone
0.81,1.84,13.41,-0.34,0.26,0.07,1723210893408,cobblestone
1.87,2.43,17.64,0.1,0.09,0.06,1723210893417,cobblestone
1.76,4.03,12.41,0.84,0.02,-0.02,1723210893426,cobblestone
2.19,4.97,4.15,0.63,0.04,-0.13,1723210893435,cobblestone
1.0,-2.27,4.13,-0.04,0.03,-0.29,1723210893444,cobblestone
-0.23,-0.71,8.11,-0.63,0.14,-0.3,1723210893453,cobblestone
-1.08,-1.31,13.55,-0.32,0.11,-0.33,1723210893462,cobblestone
-2.94,-1.55,13.81,0.21,0.09,-0.23,1723210893471,cobblestone
-2.94,-0.52,9.16,0.36,0.03,-0.03,1723210893480,cobblestone
-2.44,-4.25,6.91,0.1,0.11,0.02,1723210893489,cobblestone
-1.63,2.73,11.15,-0.3,0.21,0.02,1723210893498,cobblestone
-1.02,0.95,15.86,-0.15,0.09,0.14,1723210893507,cobblestone
0.24,-0.44,16.07,0.23,0.09,0.21,1723210893516,cobblestone
1.32,1.67,9.88,0.41,0.04,0.21,1723210893525,cobblestone
2.1,0.02,6.53,0.38,0.2,0.02,1723210893534,cobblestone
0.11,0.44,2.75,0.21,0.05,-0.15,1723210893543,cobblestone
0.09,-1.99,5.6,-0.15,0.08,-0.26,1723210893552,cobblestone
-2.24,-1.0,8.9,-0.32,0.07,-0.3,1723210893561,cobblestone
-2.77,-0.74,12.31,-0.19,0.01,-0.08,1723210893570,cobblestone
-2.5,1.87,8.96,0.24,0.06,0.12,1723210893579,cobblestone
-0.67,-2.25,6.06,0.03,-0.04,0.27,1723210893588,cobblestone
0.38,-4.22,6.74,-0.2,0.24,0.19,1723210893597,cobblestone
0.36,-3.71,9.29,-0.36,0.08,0.1,1723210893606,cobblestone
0.64,-4.36,13.6,-0.37,0.21,-0.02,1723210893615,cobblestone
-0.44,-0.05,16.9,-0.16,0.12,-0.06,1723210893624,cobblestone
-0.85,1.19,17.79,0.1,0.13,-0.02,1723210893633,cobblestone
-1.22,2.74,11.8,0.5,-0.01,0.26,1723210893642,cobblestone
1.5,1.95,6.43,0.31,0.11,0.38,1723210893651,cobblestone
2.36,-2.47,4.36,-0.0,0.26,0.3,1723210893660,cobblestone
2.88,-2.56,6.83,-0.46,0.15,0.06,1723210893669,cobblestone
1.26,-1.64,10.6,-0.69,0.21,-0.27,1723210893678,cobblestone
0.02,-1.74,17.11,-0.33,-0.04,-0.34,1723210893687,cobblestone
-2.73,-1.74,14.32,0.27,0.08,-0.22,1723210893696,cobblestone
-3.03,-3.18,8.36,0.28,-0.16,0.04,1723210893705,cobblestone
-1.29,-2.51,7.43,0.07,0.18,0.16,1723210893714,cobblestone
-1.82,-4.22,7.58,-0.26,0.06,0.21,1723210893723,cobblestone
0.6,2.14,13.78,-0.17,0.15,0.28,1723210893732,cobblestone
0.19,4.58,13.88,0.08,0.13,0.33,1723210893741,cobblestone
2.37,0.91,14.53,0.25,-0.02,0.29,1723210893750,cobblestone
2.45,3.4,12.06,0.22,0.16,0.16,1723210893759,cobblestone
2.08,2.87,9.2,0.1,0.03,0.01,1723210893768,cobblestone
1.89,-0.91,10.83,0.0,0.14,-0.02,1723210893777,cobblestone
0.14,0.86,8.09,0.13,0.08,-0.06,1723210893786,cobblestone
-0.34,0.03,7.36,0.15,0.07,-0.05,1723210893795,cobblestone
-0.91,-0.75,7.34,0.04,0.12,-0.05,1723210893804,cobblestone
-2.15,-2.89,11.53,-0.32,0.06,-0.05,1723210893814,cobblestone
-1.98,1.02,16.86,-0.25,0.17,0.06,1723210893823,cobblestone
-1.88,3.88,17.61,0.25,0.02,0.15,1723210893832,cobblestone
-0.45,4.95,11.55,0.64,-0.05,0.29,1723210893841,cobblestone
1.6,1.74,6.45,0.3,0.1,0.33,1723210893850,cobblestone
1.9,-2.46,6.61,-0.08,0.13,0.11,1723210893859,cobblestone
1.13,-2.52,9.63,-0.29,0.06,-0.16,1723210893868,cobblestone
-0.54,1.75,12.67,-0.1,0.01,-0.23,1723210893877,cobblestone
-2.0,-1.28,12.04,0.31,-0.09,-0.1,1723210893886,cobblestone
-2.18,1.36,6.83,0.39,-0.05,0.13,1723210893895,cobblestone
-0.35,4.32,2.1,0.5,-0.05,0.28,1723210893904,cobblestone
1.13,0.67,1.11,0.29,0.11,0.28,1723210893913,cobblestone
0.41,-10.14,4.64,-0.53,0.08,0.13,1723210893922,cobblestone
0.43,-3.21,9.59,-1.27,-0.0,-0.13,1723210893931,cobblestone
-1.38,-1.23,22.15,-1.12,0.31,-0.18,1723210893940,cobblestone
-2.93,1.19,25.57,0.36,-0.16,0.06,1723210893949,cobblestone
-1.04,0.62,11.5,1.23,-0.22,0.25,1723210893958,cobblestone
0.3,-2.94,2.15,0.71,-0.08,0.31,1723210893967,cobblestone
1.37,0.05,1.24,-0.06,0.17,0.19,1723210893976,cobblestone
1.43,-3.11,4.98,-0.67,-0.06,0.04,1723210893985,cobblestone
1.42,-1.48,9.36,-0.92,0.11,-0.15,1723210893994,cobblestone
-1.35,-1.17,13.56,-0.48,0.08,-0.18,1723210894003,cobblestone
-1.87,-1.45,15.95,0.13,-0.1,-0.08,1723210894012,cobblestone
-3.22,-4.04,13.51,0.02,-0.09,0.01,1723210894021,cobblestone
-1.36,1.68,14.75,-0.31,0.03,0.23,1723210894030,cobblestone
-0.59,-1.11,14.56,0.02,0.02,0.18,1723210894039,cobblestone
0.37,3.6,10.24,0.27,-0.08,0.16,1723210894048,cobblestone
0.69,0.93,4.68,0.27,-0.05,0.04,1723210894057,cobblestone
-0.28,-3.32,4.37,-0.14,-0.15,-0.07,1723210894066,cobblestone
-0.2,-1.34,9.4,-0.52,-0.02,-0.11,1723210894075,cobblestone
-1.56,-0.47,13.07,-0.4,-0.04,-0.15,1723210894084,cobblestone
-1.61,-1.39,18.56,-0.12,-0.03,0.04,1723210894093,cobblestone
-2.35,1.48,15.62,0.36,-0.04,0.14,1723210894102,cobblestone
-0.98,4.55,7.83,0.44,-0.22,0.31,1723210894111,cobblestone
0.98,-0.07,6.43,0.19,-0.04,0.31,1723210894120,cobblestone
1.44,1.62,7.63,-0.19,-0.01,0.17,1723210894129,cobblestone
1.86,3.39,13.95,-0.33,0.07,-0.05,1723210894138,cobblestone
-0.72,-3.24,13.9,0.12,-0.23,-0.25,1723210894147,cobblestone
-1.42,-0.06,10.75,0.23,-0.17,-0.13,1723210894156,cobblestone
-1.33,-1.24,8.07,0.03,-0.17,0.07,1723210894165,cobblestone
-0.1,3.51,9.33,-0.15,0.02,0.16,1723210894174,cobblestone
0.33,0.65,9.54,0.05,-0.16,0.09,1723210894183,cobblestone
0.42,-3.95,7.11,0.24,-0.11,-0.08,1723210894192,cobblestone
0.09,2.14,7.24,-0.13,-0.04,-0.18,1723210894201,cobblestone
-1.7,-1.35,10.82,-0.27,-0.11,-0.26,1723210894210,cobblestone
-2.06,-0.68,15.96,-0.13,-0.11,-0.13,1723210894219,cobblestone
-1.84,-0.17,16.02,0.3,-0.11,0.11,1723210894228,cobblestone
0.38,5.17,10.42,0.51,-0.18,0.34,1723210894237,cobblestone
2.82,2.0,6.31,0.32,-0.09,0.33,1723210894246,cobblestone
2.68,-0.74,5.01,-0.04,-0.04,0.1,1723210894255,cobblestone
2.61,1.05,8.57,-0.34,-0.08,-0.21,1723210894264,cobblestone
0.11,0.71,10.34,-0.1,-0.12,-0.44,1723210894274,cobblestone
-2.34,-1.07,9.79,0.06,-0.25,-0.46,1723210894283,cobblestone
-4.7,-2.62,8.09,-0.1,-0.16,-0.44,1723210894292,cobblestone
-6.45,-1.98,10.3,-0.33,-0.18,-0.14,1723210894301,cobblestone
-5.82,-2.97,13.91,-0.36,-0.14,0.3,1723210894310,cobblestone
-2.62,-1.36,14.99,-0.01,-0.12,0.53,1723210894319,cobblestone
0.85,0.64,10.2,0.27,-0.19,0.52,1723210894328,cobblestone
2.54,-0.85,6.62,-0.06,-0.04,0.14,1723210894342,cobblestone
2.6,-1.93,6.64,-0.11,-0.2,0.07,1723210894346,cobblestone
2.77,-0.09,12.6,-0.4,-0.07,-0.17,1723210894355,cobblestone
-0.83,1.35,14.99,-0.17,-0.13,-0.28,1723210894364,cobblestone
-1.47,3.08,14.29,0.4,-0.28,-0.18,1723210894373,cobblestone
-3.14,0.74,5.51,0.49,-0.29,-0.07,1723210894382,cobblestone
-0.64,-2.32,3.66,0.17,-0.4,0.1,1723210894391,cobblestone
-0.6,-5.42,4.22,-0.2,-0.07,0.14,1723210894400,cobblestone
