AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-0.94,-2.14,10.81,-0.12,-0.28,0.1,1723211535196,cobblestone
-0.39,-6.5,8.21,-0.13,-0.17,0.25,1723211535205,cobblestone
1.38,-3.25,8.18,-0.27,-0.16,0.31,1723211535214,cobblestone
1.75,-1.33,9.93,-0.2,-0.09,0.17,1723211535223,cobblestone
1.44,-0.13,12.21,-0.15,-0.18,0.04,1723211535232,cobblestone
0.82,-1.02,13.51,-0.17,-0.07,-0.05,1723211535241,cobblestone
-0.1,1.88,13.79,-0.08,-0.12,-0.06,1723211535250,cobblestone
-0.7,-0.23,14.46,-0.07,-0.14,-0.04,1723211535259,cobblestone
-1.21,1.61,11.89,-0.0,-0.11,0.05,1723211535268,cobblestone
-0.3,-1.54,9.71,-0.0,-0.22,0.12,1723211535277,cobblestone
0.21,-1.6,9.31,-0.15,-0.01,0.08,1723211535286,cobblestone
0.85,1.19,12.02,-0.19,-0.15,0.06,1723211535295,cobblestone
1.04,3.58,13.42,-0.04,-0.02,0.05,1723211535304,cobblestone
0.44,-1.87,12.71,0.2,-0.24,-0.04,1723211535313,cobblestone
0.14,2.09,11.71,0.1,0.04,-0.1,1723211535322,cobblestone
-0.75,1.05,11.56,0.13,-0.17,-0.13,1723211535331,cobblestone
-0.8,1.27,12.76,0.06,-0.05,-0.11,1723211535340,cobblestone
-1.11,1.82,15.35,-0.03,-0.08,-0.03,1723211535349,cobblestone
-0.41,3.41,16.1,0.36,0.01,0.02,1723211535358,cobblestone
-0.15,1.63,9.73,0.68,-0.15,-0.0,1723211535367,cobblestone
1.42,3.04,6.95,0.41,0.01,-0.05,1723211535376,cobblestone
1.32,3.72,6.42,0.16,-0.02,-0.01,1723211535385,cobblestone
2.04,2.09,8.94,0.19,-0.08,-0.08,1723211535394,cobblestone
1.53,-0.75,8.4,0.31,0.01,-0.14,1723211535403,cobblestone
1.29,1.21,5.75,0.4,-0.08,-0.22,1723211535412,cobblestone
0.67,1.38,5.68,0.17,-0.03,-0.27,1723211535421,cobblestone
-0.08,2.97,10.42,-0.17,0.03,-0.25,1723211535430,cobblestone
-1.56,-0.58,14.58,-0.13,0.12,-0.23,1723211535439,cobblestone
-1.49,-1.62,14.01,0.3,-0.03,-0.19,1723211535448,cobblestone
-1.94,-2.56,9.0,0.44,-0.14,-0.02,1723211535457,cobblestone
-0.1,-1.81,8.23,0.08,-0.03,0.02,1723211535466,cobblestone
-0.52,-2.54,9.81,-0.19,0.19,-0.03,1723211535475,cobblestone
0.23,-0.51,10.98,0.26,-0.07,-0.02,1723211535484,cobblestone
0.57,0.49,5.83,0.56,-0.06,-0.06,1723211535493,cobblestone
0.82,-2.28,4.39,0.13,0.07,-0.1,1723211535502,cobblestone
0.91,0.33,7.25,-0.31,0.11,-0.2,1723211535511,cobblestone
0.56,-1.02,11.99,-0.23,0.04,-0.27,1723211535520,cobblestone
0.16,0.09,13.73,0.01,0.06,-0.26,1723211535529,cobblestone
-0.26,-1.03,11.06,0.22,-0.02,-0.29,1723211535538,cobblestone
-0.68,-2.47,8.59,-0.01,0.02,-0.33,1723211535547,cobblestone
-1.12,-0.26,10.13,-0.22,0.06,-0.32,1723211535556,cobblestone
-1.72,-0.5,11.54,-0.09,0.04,-0.27,1723211535565,cobblestone
-2.23,-2.06,10.7,-0.01,0.06,-0.21,1723211535574,cobblestone
-2.14,-1.92,8.89,-0.04,0.12,-0.14,1723211535583,cobblestone
-1.02,-0.4,7.86,-0.02,0.0,-0.11,1723211535592,cobblestone
-0.05,-0.43,8.09,-0.17,0.1,-0.05,1723211535601,cobblestone
0.76,-1.64,8.54,-0.16,0.13,-0.12,1723211535610,cobblestone
0.94,-0.75,9.36,-0.24,0.16,-0.26,1723211535619,cobblestone
