AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-0.16,58.44,32.45,-3.09,2.12,0.43,1723386053428,cobblestone
-7.58,-7.08,27.69,0.64,0.01,0.31,1723386053437,cobblestone
-1.36,-2.35,13.44,1.92,-0.16,0.16,1723386053446,cobblestone
-5.96,11.49,-0.38,2.01,-0.23,1.08,1723386053455,cobblestone
0.26,-8.06,23.24,2.61,0.28,-0.07,1723386053464,cobblestone
8.86,-12.41,10.78,1.26,0.15,0.27,1723386053473,cobblestone
6.23,-9.43,6.38,-1.6,-0.35,0.01,1723386053482,cobblestone
-42.52,78.45,-18.92,-4.37,-0.12,0.87,1723386053491,cobblestone
0.3,-5.51,50.8,-0.56,0.19,-0.15,1723386053500,cobblestone
0.72,-6.46,26.03,0.63,0.57,-0.92,1723386053509,cobblestone
-3.38,2.16,13.3,3.36,-1.5,-0.96,1723386053518,cobblestone
-0.2,-18.11,7.51,2.82,-0.55,-0.83,1723386053527,cobblestone
-4.24,31.66,-13.69,2.7,0.83,0.16,1723386053537,cobblestone
-6.61,1.78,-6.77,1.84,-0.7,-0.5,1723386053546,cobblestone
1.87,44.2,-27.62,-1.2,0.75,0.22,1723386053555,cobblestone
-0.0,-5.35,3.06,-2.87,-0.1,0.04,1723386053564,cobblestone
7.17,-33.68,4.45,-2.38,0.64,0.51,1723386053573,cobblestone
-0.75,-8.28,-2.22,-1.38,-0.08,0.31,1723386053582,cobblestone
-2.12,2.61,9.91,-3.13,0.37,-1.14,1723386053591,cobblestone
3.34,-15.68,43.69,-1.37,-0.17,-0.66,1723386053600,cobblestone
-2.64,-21.28,48.31,1.52,-0.39,-0.19,1723386053609,cobblestone
-0.2,27.54,-24.92,1.46,0.83,0.69,1723386053618,cobblestone
-5.81,6.24,3.5,1.88,-0.52,0.32,1723386053627,cobblestone
2.88,7.36,1.3,0.74,0.67,-0.05,1723386053636,cobblestone
-2.11,-2.63,-1.56,0.87,-0.09,-0.24,1723386053645,cobblestone
2.29,-4.73,6.61,0.92,-0.29,-0.61,1723386053654,cobblestone
-0.14,-3.63,2.03,0.23,0.03,0.15,1723386053663,cobblestone
-7.7,10.48,-2.38,-1.05,0.08,-0.56,1723386053672,cobblestone
1.02,-3.62,-1.79,-1.65,0.09,-0.65,1723386053681,cobblestone
0.74,-7.54,15.81,-0.74,-0.1,-0.11,1723386053692,cobblestone
-5.23,10.59,7.81,0.36,0.59,0.47,1723386053701,cobblestone
6.08,-1.27,-5.12,3.04,-0.4,-0.22,1723386053712,cobblestone
-15.62,-78.45,16.23,-1.3,0.06,-1.31,1723386053721,cobblestone
-6.58,-2.27,17.54,-4.37,-0.39,-0.62,1723386053731,cobblestone
-13.94,20.07,59.09,-2.73,1.65,0.56,1723386053740,cobblestone
-1.63,19.34,32.27,4.33,-1.02,1.3,1723386053749,cobblestone
5.53,-7.9,-7.08,4.37,0.11,0.24,1723386053758,cobblestone
3.37,-20.74,-16.78,4.37,0.78,0.23,1723386053767,cobblestone
-19.87,-2.05,-33.94,0.11,-0.96,-0.71,1723386053776,cobblestone
3.01,0.23,-6.3,-2.49,0.36,-0.97,1723386053785,cobblestone
0.51,3.37,1.35,-4.06,-0.38,-0.85,1723386053794,cobblestone
2.52,14.5,-2.01,-4.37,0.57,-1.1,1723386053803,cobblestone
-2.51,-39.06,50.44,-0.11,-0.34,0.31,1723386053812,cobblestone
-11.87,-16.02,35.07,0.17,0.63,0.9,1723386053821,cobblestone
5.64,32.62,40.84,3.29,1.63,1.43,1723386053832,cobblestone
8.88,7.01,4.83,3.0,0.7,1.21,1723386053841,cobblestone
-0.77,0.7,-9.17,1.41,0.65,0.28,1723386053850,cobblestone
13.1,-33.12,4.57,0.41,-1.01,-1.86,1723386053859,cobblestone
1.94,1.96,-12.84,-2.86,0.34,-0.77,1723386053870,cobblestone
-0.01,-1.58,0.69,-1.31,-0.3,-1.5,1723386053879,cobblestone
-4.79,-5.33,7.98,-0.48,-1.06,-0.88,1723386053888,cobblestone
-7.31,-3.9,7.78,-2.61,-0.43,-0.15,1723386053897,cobblestone
-6.39,12.48,47.89,-3.4,1.53,0.36,1723386053906,cobblestone
4.04,18.81,47.19,-0.28,0.34,1.16,1723386053915,cobblestone
0.73,-6.26,31.83,3.33,-0.48,0.83,1723386053924,cobblestone
2.35,-4.98,1.28,4.33,0.05,0.17,1723386053933,cobblestone
9.24,15.86,-9.42,2.58,0.82,0.44,1723386053942,cobblestone
8.62,-6.28,-16.43,2.52,-0.37,-0.67,1723386053951,cobblestone
3.49,-38.76,-15.02,-2.16,1.06,-1.04,1723386053960,cobblestone
24.36,72.87,0.45,-3.72,-0.2,-1.43,1723386053969,cobblestone
2.07,1.47,9.91,-3.4,-0.33,-0.89,1723386053978,cobblestone
-3.26,-0.15,16.53,-0.55,0.3,-0.12,1723386053988,cobblestone
-9.45,9.41,0.08,1.81,-0.13,0.31,1723386053997,cobblestone
-3.33,-1.03,-0.28,0.72,-0.6,0.04,1723386054006,cobblestone
-5.68,-56.08,23.89,-3.56,0.84,-0.04,1723386054015,cobblestone
-4.06,22.22,37.5,-2.83,0.86,1.55,1723386054024,cobblestone
6.46,0.57,41.54,2.28,-0.12,0.53,1723386054033,cobblestone
-1.82,8.95,3.94,3.27,0.47,-0.29,1723386054042,cobblestone
2.64,-2.42,0.42,3.08,-0.22,-0.77,1723386054051,cobblestone
2.07,-7.68,3.66,1.55,-0.93,-1.59,1723386054060,cobblestone
0.33,-1.41,3.14,-0.64,-0.19,-0.18,1723386054069,cobblestone
0.98,39.34,-0.36,-1.94,0.46,-0.34,1723386054078,cobblestone
-5.15,-11.81,3.67,-1.2,-0.16,-0.27,1723386054088,cobblestone
0.5,4.63,1.73,-1.34,0.56,0.48,1723386054097,cobblestone
1.9,-7.64,9.39,-0.29,0.07,0.34,1723386054106,cobblestone
1.81,4.31,18.44,-0.51,0.46,0.3,1723386054115,cobblestone
-0.9,16.82,19.73,0.38,0.12,1.19,1723386054124,cobblestone
3.08,15.36,14.36,0.21,0.02,-0.18,1723386054133,cobblestone
-0.23,-5.24,13.91,-0.57,-0.16,-0.79,1723386054142,cobblestone
-13.29,-21.67,12.46,0.65,-0.3,-0.17,1723386054151,cobblestone
-6.9,-11.95,5.34,0.75,0.19,-0.25,1723386054160,cobblestone
-5.21,-14.72,5.62,0.71,-0.15,0.14,1723386054169,cobblestone
-2.97,-3.8,4.73,-0.63,-0.01,0.85,1723386054178,cobblestone
-9.99,0.68,14.94,-1.64,0.52,0.38,1723386054187,cobblestone
1.75,7.88,18.75,0.65,-0.01,0.55,1723386054196,cobblestone
1.7,-5.58,2.32,2.37,-0.15,0.18,1723386054205,cobblestone
11.83,12.04,-1.48,2.52,0.35,0.08,1723386054214,cobblestone
-0.44,-14.03,25.87,-0.42,-0.67,-0.24,1723386054223,cobblestone
0.82,-3.44,5.94,-2.96,0.76,0.6,1723386054232,cobblestone
-3.84,-60.03,3.91,-4.21,0.33,-0.58,1723386054241,cobblestone
-11.35,27.46,45.96,-1.98,0.26,-0.38,1723386054250,cobblestone
-5.36,14.39,15.39,3.11,-1.49,-0.22,1723386054259,cobblestone
-4.93,-25.71,13.48,1.07,-0.7,-0.32,1723386054268,cobblestone
-8.3,15.86,-3.91,-0.51,1.08,1.44,1723386054277,cobblestone
-3.11,-6.86,-0.91,1.0,0.45,0.44,1723386054286,cobblestone
1.78,-11.21,12.64,0.8,-0.72,-0.04,1723386054295,cobblestone
47.13,78.45,-10.02,-2.06,-0.09,0.25,1723386054304,cobblestone
0.34,-0.94,21.5,-1.47,0.27,0.04,1723386054313,cobblestone
-1.95,-9.34,38.01,-0.18,0.16,0.14,1723386054322,cobblestone
6.25,-30.83,6.9,2.51,-0.33,-0.46,1723386054331,cobblestone
3.52,-10.87,-2.77,2.61,0.79,-0.23,1723386054340,cobblestone
-0.97,0.42,7.41,0.87,-0.14,-0.85,1723386054349,cobblestone
-3.17,6.73,-0.74,0.19,-0.76,0.03,1723386054358,cobblestone
-1.37,-6.0,0.88,-0.88,0.22,-0.57,1723386054367,cobblestone
0.62,-7.25,14.0,-1.66,-0.69,0.45,1723386054376,cobblestone
