AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-1.74,4.05,9.33,0.57,-0.19,-0.16,1723211013164,cobblestone
-0.47,2.65,6.41,0.28,0.04,-0.01,1723211013173,cobblestone
-0.29,0.81,6.21,-0.17,0.04,0.03,1723211013182,cobblestone
-0.06,-1.07,10.95,-0.3,0.13,0.0,1723211013191,cobblestone
-0.57,-0.75,14.04,-0.09,0.03,0.01,1723211013200,cobblestone
-0.53,-0.49,13.42,0.29,0.02,0.04,1723211013210,cobblestone
-0.23,-0.2,8.54,0.44,-0.05,0.06,1723211013219,cobblestone
1.04,0.87,6.7,0.18,0.08,0.06,1723211013228,cobblestone
1.19,1.51,9.4,-0.11,0.09,-0.09,1723211013237,cobblestone
0.76,-0.43,13.52,-0.08,0.07,-0.18,1723211013246,cobblestone
0.02,-1.14,12.72,0.24,0.03,-0.25,1723211013255,cobblestone
-1.21,-2.7,9.24,0.23,-0.05,-0.29,1723211013264,cobblestone
-2.31,-0.6,9.02,0.05,0.05,-0.34,1723211013273,cobblestone
-3.38,-2.77,10.09,0.1,-0.07,-0.19,1723211013282,cobblestone
-2.77,-1.31,11.03,0.19,0.02,-0.03,1723211013291,cobblestone
-2.21,-2.17,9.02,0.24,-0.09,0.05,1723211013300,cobblestone
-1.23,1.29,7.61,0.11,0.0,0.11,1723211013309,cobblestone
-0.37,3.92,8.49,-0.06,-0.03,0.07,1723211013318,cobblestone
-0.16,2.58,9.99,-0.07,-0.02,0.07,1723211013327,cobblestone
-0.23,-0.75,9.5,-0.01,-0.07,0.05,1723211013336,cobblestone
-0.57,-3.89,10.27,-0.23,-0.02,0.05,1723211013345,cobblestone
-1.28,-3.08,12.47,-0.24,-0.02,0.03,1723211013354,cobblestone
-1.71,-4.31,13.13,0.18,-0.16,0.11,1723211013363,cobblestone
-0.64,1.87,9.04,0.42,-0.15,0.19,1723211013372,cobblestone
1.17,2.83,5.84,0.21,-0.13,0.2,1723211013381,cobblestone
1.99,3.05,5.81,-0.15,0.03,0.13,1723211013390,cobblestone
2.22,2.11,10.38,-0.43,0.03,-0.07,1723211013399,cobblestone
1.22,0.22,14.19,-0.27,-0.05,-0.21,1723211013408,cobblestone
-0.76,1.34,13.02,0.1,-0.1,-0.31,1723211013417,cobblestone
-2.31,-0.74,9.72,0.15,-0.2,-0.24,1723211013427,cobblestone
-2.11,-1.3,8.67,-0.02,-0.07,-0.05,1723211013437,cobblestone
-1.17,-0.83,9.83,-0.1,-0.06,0.11,1723211013447,cobblestone
0.52,0.76,10.93,0.03,-0.04,0.18,1723211013456,cobblestone
1.97,3.83,8.57,0.24,-0.05,0.09,1723211013465,cobblestone
1.78,2.61,5.93,0.19,-0.08,-0.05,1723211013474,cobblestone
1.49,2.4,6.97,-0.22,-0.05,-0.22,1723211013483,cobblestone
-0.24,-2.01,11.5,-0.48,0.01,-0.31,1723211013492,cobblestone
-1.6,-0.37,17.21,-0.4,-0.04,-0.35,1723211013501,cobblestone
-3.52,-0.88,17.21,0.13,-0.12,-0.21,1723211013510,cobblestone
-3.33,-0.85,10.68,0.41,-0.2,0.09,1723211013519,cobblestone
-0.63,-1.73,6.98,0.05,-0.09,0.26,1723211013528,cobblestone
0.78,2.24,7.3,-0.28,0.09,0.26,1723211013537,cobblestone
2.73,0.39,10.25,-0.32,0.04,0.19,1723211013546,cobblestone
3.19,-3.42,12.17,-0.22,0.03,-0.06,1723211013555,cobblestone
2.15,-3.09,12.61,-0.11,-0.03,-0.32,1723211013564,cobblestone
-0.16,-2.77,12.11,-0.09,-0.02,-0.52,1723211013573,cobblestone
-2.52,-2.72,10.7,0.04,-0.06,-0.49,1723211013582,cobblestone
-3.63,-3.32,9.98,0.02,-0.02,-0.4,1723211013591,cobblestone
-4.6,-0.83,8.49,-0.01,-0.04,-0.16,1723211013600,cobblestone
-2.1,-0.52,8.38,-0.0,-0.02,0.03,1723211013609,cobblestone
-0.46,1.23,8.0,-0.12,-0.0,0.02,1723211013618,cobblestone
0.74,1.78,8.53,-0.11,-0.05,-0.07,1723211013627,cobblestone
0.46,-3.82,8.11,-0.06,-0.06,-0.13,1723211013636,cobblestone
0.41,-2.19,10.0,-0.22,-0.03,-0.18,1723211013645,cobblestone
-1.61,-2.77,11.34,-0.09,-0.0,-0.18,1723211013654,cobblestone
-1.71,-2.56,11.9,-0.01,-0.05,-0.06,1723211013663,cobblestone
-1.04,-1.51,11.67,-0.02,-0.09,0.09,1723211013672,cobblestone
0.18,0.03,12.54,-0.04,-0.09,0.19,1723211013681,cobblestone
1.08,2.24,13.43,0.02,-0.04,0.13,1723211013690,cobblestone
2.5,-0.59,12.11,0.2,-0.11,0.1,1723211013699,cobblestone
1.89,-0.61,8.88,0.09,0.02,-0.14,1723211013708,cobblestone
0.82,-1.73,11.37,-0.2,-0.03,-0.22,1723211013717,cobblestone
-0.96,-3.35,14.59,-0.05,0.04,-0.11,1723211013726,cobblestone
-1.19,-1.22,12.82,0.32,-0.05,-0.01,1723211013735,cobblestone
-0.41,0.92,8.28,0.4,-0.11,0.09,1723211013744,cobblestone
0.86,2.33,6.71,0.18,-0.04,0.09,1723211013754,cobblestone
1.54,2.93,8.19,-0.07,0.04,0.0,1723211013763,cobblestone
1.43,0.07,10.82,-0.1,0.05,-0.12,1723211013772,cobblestone
0.68,1.08,12.32,-0.04,0.05,-0.22,1723211013781,cobblestone
-1.02,-0.2,12.72,-0.01,0.03,-0.22,1723211013790,cobblestone
-2.09,-1.57,12.61,0.07,-0.01,-0.15,1723211013799,cobblestone
-1.71,0.07,9.86,0.23,-0.06,0.07,1723211013808,cobblestone
-0.08,0.17,7.13,0.24,-0.05,0.18,1723211013817,cobblestone
1.69,0.26,6.86,0.06,0.05,0.18,1723211013826,cobblestone
2.94,2.98,9.88,-0.17,0.13,0.01,1723211013835,cobblestone
1.75,1.35,11.8,0.0,0.03,-0.17,1723211013844,cobblestone
0.69,-1.53,10.67,0.21,0.02,-0.26,1723211013853,cobblestone
-1.65,-1.63,8.69,0.18,-0.03,-0.29,1723211013862,cobblestone
-2.11,-0.8,8.32,0.11,0.0,-0.15,1723211013871,cobblestone
-2.15,1.03,8.93,0.07,0.02,0.05,1723211013880,cobblestone
-0.57,0.79,9.8,0.13,0.02,0.2,1723211013889,cobblestone
1.33,1.39,9.51,-0.01,0.04,0.22,1723211013898,cobblestone
2.97,2.57,11.09,-0.12,0.14,0.17,1723211013907,cobblestone
3.04,2.66,10.35,-0.07,0.09,-0.04,1723211013916,cobblestone
3.03,-0.64,10.6,-0.14,0.09,-0.25,1723211013925,cobblestone
0.28,-2.21,10.23,-0.15,0.08,-0.38,1723211013934,cobblestone
-1.26,-0.86,11.11,-0.13,0.08,-0.4,1723211013943,cobblestone
-2.69,-2.69,11.71,-0.05,-0.03,-0.23,1723211013952,cobblestone
-2.14,-1.89,10.47,0.0,0.1,-0.03,1723211013961,cobblestone
-0.63,0.18,9.37,-0.0,0.03,-0.01,1723211013970,cobblestone
-0.03,0.29,10.02,-0.05,0.08,-0.08,1723211013979,cobblestone
0.96,1.58,11.01,-0.1,0.12,-0.18,1723211013988,cobblestone
0.54,-0.24,11.09,-0.11,0.07,-0.25,1723211013997,cobblestone
0.26,0.11,11.74,-0.14,0.11,-0.33,1723211014006,cobblestone
-1.31,-1.82,11.49,-0.04,0.04,-0.36,1723211014015,cobblestone
-1.67,-3.14,10.45,-0.06,0.03,-0.26,1723211014024,cobblestone
-2.14,-0.68,8.08,0.05,0.03,-0.15,1723211014033,cobblestone
-1.0,-0.48,6.92,-0.01,0.04,-0.02,1723211014042,cobblestone
-0.29,-0.73,8.28,-0.22,0.14,-0.0,1723211014051,cobblestone
0.65,-3.37,9.83,-0.28,0.12,-0.04,1723211014060,cobblestone
