AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-17.64,-18.68,-18.3,0.6,0.77,-0.3,1723386128325,cobblestone
-3.44,5.96,16.52,3.26,-1.21,0.45,1723386128335,cobblestone
29.42,55.72,-3.63,2.42,-0.11,0.63,1723386128344,cobblestone
1.35,-3.36,4.4,1.95,1.13,0.4,1723386128353,cobblestone
-2.67,-36.21,-2.54,0.97,-0.22,-0.57,1723386128363,cobblestone
2.68,21.86,-12.38,-0.78,0.72,0.66,1723386128372,cobblestone
-2.77,-39.69,-9.81,-0.91,0.11,-1.01,1723386128381,cobblestone
6.56,3.62,19.32,-0.51,-0.23,-0.19,1723386128390,cobblestone
1.53,3.56,3.13,-1.41,0.71,-0.39,1723386128399,cobblestone
-4.58,5.29,2.05,-1.69,-0.17,-0.2,1723386128408,cobblestone
-6.84,-5.24,24.84,-1.87,1.07,-1.3,1723386128417,cobblestone
-16.14,-5.27,32.31,-0.05,-0.9,-0.28,1723386128426,cobblestone
-19.5,-31.41,27.36,1.42,-0.41,0.5,1723386128435,cobblestone
-10.52,-10.71,9.15,1.17,-0.2,1.24,1723386128444,cobblestone
0.99,3.77,6.77,1.74,0.02,1.83,1723386128453,cobblestone
8.9,-4.17,2.85,1.25,1.07,1.48,1723386128462,cobblestone
4.02,13.5,-7.35,0.07,0.3,1.29,1723386128471,cobblestone
9.64,1.04,2.79,-0.79,-0.07,-0.16,1723386128480,cobblestone
6.81,20.92,-0.96,-1.17,-0.05,-0.98,1723386128489,cobblestone
5.44,-6.12,4.05,-0.79,-0.63,-2.08,1723386128498,cobblestone
-7.12,-18.36,19.28,-1.52,0.02,-1.52,1723386128507,cobblestone
-10.44,-8.67,27.99,-0.88,0.01,-0.53,1723386128516,cobblestone
-14.3,0.64,26.53,0.8,0.21,0.46,1723386128525,cobblestone
-5.24,6.0,2.34,3.08,-0.53,1.02,1723386128534,cobblestone
2.71,-5.09,7.77,1.46,0.37,0.4,1723386128543,cobblestone
-1.93,11.65,5.03,-1.7,0.85,0.65,1723386128552,cobblestone
1.71,6.2,4.89,-1.81,-0.55,0.3,1723386128561,cobblestone
2.1,-8.46,18.19,-1.29,-0.02,-0.56,1723386128570,cobblestone
-7.13,18.65,25.16,-0.69,0.36,0.31,1723386128579,cobblestone
-0.47,-0.27,16.83,2.16,-0.97,0.62,1723386128588,cobblestone
0.88,-2.26,4.27,1.34,0.22,0.85,1723386128597,cobblestone
5.64,-16.47,2.36,1.55,-0.26,0.34,1723386128606,cobblestone
0.31,4.9,3.62,-0.2,0.58,0.78,1723386128615,cobblestone
2.57,5.44,-1.75,0.31,-0.42,0.07,1723386128624,cobblestone
4.22,-8.15,10.09,-0.7,-0.71,-1.06,1723386128633,cobblestone
-4.44,2.03,-1.21,-2.09,-0.29,0.11,1723386128642,cobblestone
0.41,-7.85,27.07,-1.75,0.36,-0.09,1723386128651,cobblestone
-5.16,-3.51,21.6,0.27,0.32,0.26,1723386128660,cobblestone
-0.79,-21.29,5.61,1.85,-0.81,0.24,1723386128669,cobblestone
-2.12,7.09,9.22,0.44,1.09,0.2,1723386128678,cobblestone
-3.58,-13.99,-0.99,-0.64,-0.03,-0.05,1723386128687,cobblestone
-4.75,11.07,8.04,-0.88,-0.86,0.95,1723386128696,cobblestone
-0.59,-7.53,12.95,-1.4,0.58,0.18,1723386128705,cobblestone
0.59,-3.22,18.63,0.06,-0.28,0.6,1723386128714,cobblestone
2.29,-4.49,6.35,1.33,-0.28,0.18,1723386128723,cobblestone
2.57,-3.75,7.36,0.87,0.01,-0.13,1723386128732,cobblestone
-2.32,-15.23,8.15,1.06,-0.82,0.41,1723386128741,cobblestone
5.49,28.61,10.06,-1.87,0.03,0.09,1723386128750,cobblestone
-6.9,3.56,10.0,-0.83,-0.58,0.54,1723386128759,cobblestone
-2.33,19.06,25.19,-1.05,0.33,1.33,1723386128768,cobblestone
8.46,15.11,36.4,0.16,-0.13,1.08,1723386128777,cobblestone
4.42,-7.69,12.76,2.52,0.22,0.38,1723386128786,cobblestone
0.05,-52.03,17.24,3.82,0.02,-0.11,1723386128796,cobblestone
4.76,-7.87,-8.21,3.74,-1.24,0.41,1723386128806,cobblestone
1.48,-9.3,-16.05,-0.41,0.57,-1.48,1723386128815,cobblestone
0.51,5.55,-4.42,-2.07,-0.56,0.06,1723386128824,cobblestone
-2.57,78.45,-10.69,-2.83,-0.5,-0.32,1723386128833,cobblestone
-4.43,-15.41,15.72,-4.18,0.04,-0.03,1723386128842,cobblestone
-4.85,-13.19,42.03,-4.18,1.15,1.08,1723386128851,cobblestone
1.93,-11.98,40.64,3.72,-1.89,1.09,1723386128860,cobblestone
0.48,4.76,29.31,3.36,0.84,1.19,1723386128869,cobblestone
7.06,-1.51,9.91,3.07,-0.14,0.71,1723386128878,cobblestone
16.04,-44.67,17.99,2.43,0.74,-1.13,1723386128887,cobblestone
2.36,4.12,2.54,1.49,-0.78,0.03,1723386128896,cobblestone
-13.79,20.48,6.86,-2.31,-0.07,0.15,1723386128905,cobblestone
-3.42,7.49,4.92,-4.37,0.0,0.18,1723386128915,cobblestone
-0.59,-8.18,38.63,-2.78,0.78,0.68,1723386128925,cobblestone
6.48,-18.13,35.33,1.49,0.28,0.7,1723386128934,cobblestone
9.97,-5.5,16.69,4.15,-1.36,0.86,1723386128943,cobblestone
3.23,1.59,8.2,2.34,0.43,-0.27,1723386128952,cobblestone
-0.82,-0.57,2.19,1.19,-0.49,-0.83,1723386128961,cobblestone
21.22,73.86,-11.61,-0.83,0.19,-0.77,1723386128970,cobblestone
-3.26,-3.77,7.23,-2.16,-0.24,-0.31,1723386128979,cobblestone
-1.46,6.28,25.11,-1.53,0.73,0.23,1723386128988,cobblestone
-0.91,0.61,13.81,0.95,0.8,0.66,1723386128997,cobblestone
2.4,-4.8,5.47,2.36,-0.85,0.8,1723386129006,cobblestone
7.51,-10.81,-3.9,0.24,0.76,0.03,1723386129015,cobblestone
-0.28,5.71,5.04,-0.67,-0.45,-0.01,1723386129024,cobblestone
2.92,-1.14,6.22,-1.24,-0.38,-0.52,1723386129033,cobblestone
-1.47,-1.16,13.31,-1.66,0.06,-0.68,1723386129042,cobblestone
-2.11,-7.5,24.83,-0.46,0.24,-0.5,1723386129051,cobblestone
-4.81,-2.01,10.84,1.8,-0.07,0.27,1723386129060,cobblestone
-3.45,5.53,-1.27,2.6,-0.5,0.73,1723386129069,cobblestone
2.84,13.5,-8.62,1.54,0.87,0.22,1723386129078,cobblestone
-1.66,-15.66,8.53,-0.2,-0.51,-0.57,1723386129087,cobblestone
0.28,-22.58,12.63,-2.79,0.09,-0.33,1723386129096,cobblestone
0.68,-2.78,4.41,-3.4,0.06,0.2,1723386129105,cobblestone
-3.25,1.69,24.31,-2.32,1.07,0.6,1723386129114,cobblestone
-1.57,20.16,28.24,1.82,-1.25,0.63,1723386129123,cobblestone
3.44,-5.88,13.24,2.17,-0.08,-0.31,1723386129132,cobblestone
-0.01,1.28,-0.0,0.41,0.11,-0.36,1723386129141,cobblestone
-3.73,-29.44,-1.5,0.6,-0.52,0.14,1723386129150,cobblestone
4.74,19.86,-12.53,-1.22,0.74,0.4,1723386129159,cobblestone
