AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
0.03,1.82,11.08,0.08,-0.01,-0.01,1723210902728,cobblestone
-0.94,3.61,10.23,0.13,-0.1,-0.08,1723210902732,cobblestone
-0.06,-0.15,7.96,0.04,-0.04,0.04,1723210902741,cobblestone
-0.81,-1.61,7.25,-0.26,0.07,0.01,1723210902750,cobblestone
-1.39,-4.33,10.97,-0.37,-0.05,0.02,1723210902759,cobblestone
-0.74,0.5,14.46,-0.28,0.11,0.1,1723210902768,cobblestone
-0.3,0.04,12.15,0.14,-0.15,0.13,1723210902777,cobblestone
0.94,-0.77,9.06,0.25,-0.03,0.1,1723210902786,cobblestone
0.27,0.07,4.87,0.01,-0.04,0.01,1723210902795,cobblestone
0.48,-1.73,6.06,-0.22,-0.04,0.01,1723210902804,cobblestone
-0.86,-0.35,10.01,-0.44,0.12,-0.15,1723210902814,cobblestone
-2.01,-1.56,13.99,-0.29,-0.07,-0.07,1723210902823,cobblestone
-2.16,-2.17,14.02,0.03,0.02,0.04,1723210902832,cobblestone
-1.72,-3.58,10.38,0.1,-0.21,0.1,1723210902841,cobblestone
0.68,-3.78,9.47,-0.03,-0.03,0.24,1723210902850,cobblestone
1.04,1.88,11.07,-0.3,0.11,0.06,1723210902859,cobblestone
1.66,1.84,15.45,-0.01,-0.01,0.04,1723210902868,cobblestone
1.31,3.85,13.65,0.33,0.07,-0.05,1723210902877,cobblestone
0.74,1.3,8.21,0.38,-0.13,-0.09,1723210902886,cobblestone
0.81,0.09,6.65,-0.04,0.12,-0.06,1723210902895,cobblestone
-0.29,-0.26,10.49,-0.45,0.07,-0.08,1723210902904,cobblestone
-0.23,-1.63,15.56,-0.16,0.05,0.01,1723210902913,cobblestone
-0.77,-0.3,13.47,0.32,0.05,0.04,1723210902922,cobblestone
0.41,0.86,8.59,0.31,0.01,0.06,1723210902931,cobblestone
0.89,-0.42,7.25,0.02,0.13,0.04,1723210902940,cobblestone
