AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-1.69,1.02,3.15,-0.0,-0.12,-0.2,1723211732211,cobblestone
-1.54,-1.84,2.18,-0.14,-0.03,0.03,1723211732221,cobblestone
-0.71,-4.93,2.84,-0.42,0.04,0.11,1723211732230,cobblestone
1.77,-6.89,8.5,-1.15,0.06,0.07,1723211732239,cobblestone
0.8,-6.0,22.76,-1.79,0.24,0.08,1723211732248,cobblestone
-1.25,-5.61,35.54,-0.65,0.07,0.08,1723211732257,cobblestone
0.52,0.96,32.24,1.02,-0.29,0.19,1723211732266,cobblestone
-0.39,4.76,11.59,1.51,-0.21,0.27,1723211732275,cobblestone
4.9,3.16,-0.61,0.92,-0.11,0.02,1723211732284,cobblestone
1.82,0.43,-0.84,0.36,0.29,-0.24,1723211732293,cobblestone
-12.22,-15.79,2.21,0.42,-0.22,-0.14,1723211732302,cobblestone
-0.74,-2.49,0.3,-0.14,0.18,-0.34,1723211732311,cobblestone
-2.38,-1.29,2.1,-0.27,-0.26,-0.13,1723211732320,cobblestone
-1.26,-1.65,3.59,-0.87,-0.1,0.03,1723211732329,cobblestone
-0.38,2.35,13.28,-1.33,0.16,0.2,1723211732338,cobblestone
1.43,-0.14,26.11,-0.77,0.19,0.28,1723211732347,cobblestone
1.53,3.39,39.42,0.24,0.14,0.23,1723211732356,cobblestone
4.99,-2.22,7.59,0.97,-0.14,-0.19,1723211732365,cobblestone
-0.51,-1.9,0.9,0.53,0.02,-0.47,1723211732374,cobblestone
-1.42,-1.98,7.15,0.08,-0.25,-0.34,1723211732383,cobblestone
-3.55,4.64,7.41,-0.16,0.23,-0.3,1723211732392,cobblestone
-2.65,3.52,14.65,0.18,-0.29,0.18,1723211732402,cobblestone
-1.13,4.1,12.74,0.36,0.22,0.47,1723211732411,cobblestone
2.16,-0.87,11.24,0.17,-0.04,0.38,1723211732420,cobblestone
1.59,3.77,9.35,-0.06,0.23,0.06,1723211732429,cobblestone
3.17,1.42,10.02,0.12,-0.23,-0.14,1723211732438,cobblestone
0.27,0.93,8.47,0.28,0.09,-0.31,1723211732447,cobblestone
-2.04,-1.38,7.53,0.32,-0.39,-0.33,1723211732456,cobblestone
-2.03,1.74,10.22,-0.21,0.15,-0.17,1723211732465,cobblestone
-1.64,3.5,11.68,0.06,-0.28,-0.17,1723211732474,cobblestone
-2.24,6.88,8.96,-0.11,0.04,-0.09,1723211732483,cobblestone
-0.56,0.64,7.95,-0.16,-0.19,0.02,1723211732492,cobblestone
-0.22,-4.04,6.67,-0.27,-0.02,-0.11,1723211732501,cobblestone
