AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-0.43,1.11,3.37,-0.07,0.3,-0.31,1723210962733,cobblestone
-0.91,-1.23,4.6,-0.36,0.36,-0.3,1723210962738,cobblestone
-0.91,-1.52,11.9,-0.65,0.3,-0.26,1723210962747,cobblestone
-1.56,-1.76,17.38,-0.15,0.43,-0.3,1723210962756,cobblestone
-2.54,0.89,13.19,0.39,0.14,-0.29,1723210962765,cobblestone
-2.34,-0.91,9.9,0.2,0.25,-0.36,1723210962774,cobblestone
-3.59,-1.53,8.67,-0.09,0.27,-0.27,1723210962783,cobblestone
-3.03,0.64,10.98,0.01,0.24,-0.13,1723210962792,cobblestone
-2.01,-1.09,10.81,0.16,0.2,0.1,1723210962801,cobblestone
0.0,0.73,7.25,0.12,0.26,-0.0,1723210962810,cobblestone
0.57,0.52,9.35,-0.45,0.32,-0.08,1723210962819,cobblestone
0.41,-0.91,13.72,-0.22,0.25,-0.12,1723210962828,cobblestone
0.3,-6.08,12.14,0.42,0.07,-0.16,1723210962838,cobblestone
0.09,-0.01,7.73,0.38,0.16,-0.29,1723210962847,cobblestone
-1.79,-1.24,5.45,0.03,0.1,-0.39,1723210962856,cobblestone
-2.58,0.58,9.62,-0.26,0.19,-0.24,1723210962865,cobblestone
-3.14,-4.28,14.21,0.02,0.12,0.03,1723210962874,cobblestone
-1.78,2.86,13.18,0.41,0.19,0.22,1723210962883,cobblestone
0.3,-0.4,8.35,0.49,-0.03,0.26,1723210962892,cobblestone
1.75,1.5,6.79,-0.05,0.39,0.17,1723210962901,cobblestone
1.65,2.41,10.34,-0.28,0.24,0.0,1723210962910,cobblestone
0.62,0.62,12.37,-0.01,0.24,-0.2,1723210962919,cobblestone
-1.69,-5.54,10.17,0.12,0.08,-0.21,1723210962928,cobblestone
-1.3,-1.13,12.67,-0.2,0.3,-0.13,1723210962937,cobblestone
-2.71,-1.87,12.59,-0.0,0.14,-0.07,1723210962946,cobblestone
-1.93,1.35,10.77,0.3,0.13,0.0,1723210962955,cobblestone
-2.03,-0.1,5.36,0.36,0.04,-0.0,1723210962964,cobblestone
-1.4,-1.87,6.08,-0.02,0.17,-0.03,1723210962973,cobblestone
-1.09,2.59,10.37,-0.23,0.19,0.04,1723210962982,cobblestone
-0.8,3.19,12.85,0.0,0.17,0.05,1723210962991,cobblestone
-0.1,1.58,12.98,0.19,0.06,0.05,1723210963000,cobblestone
0.25,-1.54,12.79,0.02,0.09,0.03,1723210963009,cobblestone
0.37,-0.11,13.97,0.04,0.15,0.04,1723210963018,cobblestone
-0.07,0.26,11.66,0.42,0.04,0.04,1723210963027,cobblestone
0.37,1.17,5.94,0.45,0.04,0.02,1723210963036,cobblestone
-0.07,0.39,5.29,0.07,0.1,-0.03,1723210963045,cobblestone
-0.44,1.96,9.07,-0.21,0.1,-0.01,1723210963054,cobblestone
-1.03,-0.09,12.64,-0.03,0.09,0.07,1723210963063,cobblestone
-1.89,-0.39,9.2,0.32,0.05,0.11,1723210963072,cobblestone
-0.46,0.4,4.92,0.33,-0.05,0.17,1723210963081,cobblestone
-0.13,-1.31,3.98,0.06,0.13,0.18,1723210963090,cobblestone
-0.53,-5.05,7.85,-0.61,0.04,0.17,1723210963099,cobblestone
-0.04,0.21,16.86,-0.72,0.21,0.2,1723210963108,cobblestone
-1.06,-1.7,20.31,-0.12,0.02,0.29,1723210963117,cobblestone
1.19,-2.59,16.35,0.52,-0.09,0.34,1723210963126,cobblestone
1.77,1.15,8.03,0.37,0.04,0.26,1723210963135,cobblestone
1.5,-1.6,5.4,0.02,-0.06,0.12,1723210963144,cobblestone
0.6,-1.83,5.76,-0.14,0.02,0.04,1723210963153,cobblestone
-0.83,-0.01,8.83,-0.19,0.05,-0.01,1723210963162,cobblestone
-1.45,-3.38,9.66,0.17,-0.15,0.1,1723210963171,cobblestone
-2.22,-1.89,7.62,-0.04,0.05,0.19,1723210963180,cobblestone
-1.36,-2.82,9.46,-0.15,-0.05,0.19,1723210963189,cobblestone
-1.11,-2.4,10.56,-0.24,0.03,0.18,1723210963198,cobblestone
0.38,1.99,13.65,-0.24,-0.01,0.21,1723210963207,cobblestone
0.9,-2.15,11.97,0.12,-0.06,0.19,1723210963216,cobblestone
1.82,2.11,8.56,0.01,-0.03,0.13,1723210963225,cobblestone
1.12,-3.95,8.77,-0.14,-0.04,0.07,1723210963234,cobblestone
-0.05,-5.1,10.75,-0.25,0.02,0.03,1723210963243,cobblestone
-0.65,-2.73,14.22,-0.23,0.02,0.07,1723210963252,cobblestone
-0.18,-0.83,13.75,0.12,-0.03,0.2,1723210963261,cobblestone
0.38,2.65,8.02,0.36,-0.04,0.27,1723210963270,cobblestone
1.39,-0.97,5.73,0.11,0.03,0.25,1723210963279,cobblestone
1.27,-5.29,6.78,-0.06,0.04,0.16,1723210963289,cobblestone
0.94,-1.14,10.06,-0.34,0.16,-0.03,1723210963298,cobblestone
0.39,1.64,14.9,-0.28,-0.0,0.02,1723210963307,cobblestone
-0.11,1.94,13.91,0.25,0.11,0.03,1723210963316,cobblestone
-0.73,-0.23,9.96,0.19,-0.02,0.08,1723210963325,cobblestone
0.55,-0.28,11.19,-0.12,0.09,0.12,1723210963334,cobblestone
0.38,4.81,13.01,-0.21,0.12,0.1,1723210963343,cobblestone
1.5,-0.83,14.94,-0.03,-0.05,0.07,1723210963352,cobblestone
0.92,1.18,10.76,0.2,0.08,0.01,1723210963361,cobblestone
0.73,1.53,7.87,0.17,-0.04,-0.04,1723210963370,cobblestone
0.05,-0.32,7.13,0.02,0.06,-0.03,1723210963379,cobblestone
-0.16,0.36,7.68,0.02,-0.02,0.07,1723210963388,cobblestone
-0.34,-2.47,10.16,-0.17,0.1,0.14,1723210963397,cobblestone
0.32,0.15,13.52,-0.11,0.08,0.14,1723210963406,cobblestone
0.36,-0.79,14.44,0.12,0.11,0.17,1723210963415,cobblestone
1.0,1.75,12.58,0.34,-0.01,0.09,1723210963424,cobblestone
0.8,3.53,9.69,0.39,0.06,-0.0,1723210963433,cobblestone
-0.42,0.19,7.34,0.18,-0.03,-0.05,1723210963442,cobblestone
-0.44,4.5,10.4,-0.09,0.19,-0.1,1723210963451,cobblestone
-1.94,2.21,12.22,0.08,-0.03,0.05,1723210963460,cobblestone
-0.69,0.33,10.91,0.26,0.05,0.12,1723210963469,cobblestone
-0.57,1.04,6.27,0.27,-0.02,0.17,1723210963478,cobblestone
0.95,-0.3,5.87,0.07,0.05,0.11,1723210963487,cobblestone
0.35,0.89,4.79,-0.09,0.07,-0.02,1723210963496,cobblestone
0.32,-2.64,6.59,-0.16,-0.0,-0.06,1723210963505,cobblestone
-0.86,-2.73,8.14,-0.19,0.06,-0.08,1723210963514,cobblestone
-0.75,-3.37,10.01,-0.24,-0.04,-0.02,1723210963523,cobblestone
