AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
3.29,-24.27,-26.41,-2.65,1.25,-0.18,1723386193333,cobblestone
-2.54,-0.49,2.97,-4.37,-0.45,-0.44,1723386193342,cobblestone
2.04,29.87,-10.09,-4.35,-0.62,-1.11,1723386193351,cobblestone
-9.1,-27.02,46.95,-2.08,0.81,-0.8,1723386193360,cobblestone
-10.61,14.65,56.97,-0.11,-1.36,0.46,1723386193369,cobblestone
0.91,4.11,55.62,1.7,0.42,0.02,1723386193378,cobblestone
68.08,77.69,-48.99,3.69,-0.81,-1.6,1723386193387,cobblestone
-1.06,6.6,-1.7,4.37,-0.69,0.67,1723386193396,cobblestone
0.01,10.43,-3.08,4.37,0.26,-0.28,1723386193405,cobblestone
0.7,4.92,-49.7,0.8,-0.32,-0.4,1723386193414,cobblestone
-3.6,-17.9,-19.81,-3.94,0.16,-1.71,1723386193423,cobblestone
2.06,-18.75,23.93,-4.37,-0.37,-0.33,1723386193432,cobblestone
0.29,3.37,23.28,-4.31,0.53,0.28,1723386193442,cobblestone
-0.77,-16.99,62.0,-1.73,1.56,0.2,1723386193451,cobblestone
6.49,28.35,54.42,3.31,-2.0,0.36,1723386193460,cobblestone
2.17,5.89,23.54,3.38,-0.2,0.58,1723386193469,cobblestone
4.98,-1.27,-32.63,2.4,0.66,-0.64,1723386193479,cobblestone
1.25,-3.97,-5.37,1.48,-0.09,-0.86,1723386193488,cobblestone
4.47,-25.16,-6.52,2.15,-1.16,-0.06,1723386193498,cobblestone
1.62,53.6,-17.12,-1.91,0.49,-0.1,1723386193507,cobblestone
-12.73,-16.48,5.7,-1.28,0.21,-0.28,1723386193516,cobblestone
-1.83,3.63,-0.11,-0.73,-0.62,0.66,1723386193525,cobblestone
1.88,-19.29,10.85,-1.57,0.95,0.13,1723386193534,cobblestone
2.19,-6.06,8.94,-1.98,0.0,0.54,1723386193543,cobblestone
12.95,13.71,28.3,-2.93,1.21,0.59,1723386193552,cobblestone
3.03,10.35,41.52,0.97,-1.19,-0.18,1723386193561,cobblestone
-5.25,8.31,-32.99,0.17,-0.57,-0.3,1723386193570,cobblestone
-11.3,-6.44,8.21,2.71,-0.62,-1.46,1723386193579,cobblestone
-1.19,-44.08,-1.32,-0.05,0.57,-0.88,1723386193588,cobblestone
2.51,1.32,29.0,-1.66,-0.29,-0.44,1723386193597,cobblestone
-0.85,2.6,-2.38,-1.5,0.33,-0.1,1723386193606,cobblestone
-7.37,-6.25,0.67,-1.56,0.71,-0.74,1723386193615,cobblestone
-1.19,-2.87,19.92,-0.42,-1.07,-0.14,1723386193624,cobblestone
-3.86,-15.26,39.2,-2.47,0.93,0.5,1723386193633,cobblestone
-7.86,24.96,34.34,1.19,-0.23,1.39,1723386193642,cobblestone
6.3,5.35,9.15,2.41,-0.32,0.65,1723386193651,cobblestone
1.85,-4.68,4.64,1.52,0.71,-0.24,1723386193660,cobblestone
-13.77,-43.14,2.53,1.6,-0.42,0.15,1723386193670,cobblestone
11.35,27.33,5.22,-0.88,1.12,0.16,1723386193679,cobblestone
-5.28,30.4,5.94,-1.81,-0.44,-0.96,1723386193689,cobblestone
-0.76,-0.8,-0.88,-1.3,-0.58,-0.88,1723386193698,cobblestone
-1.81,-7.24,12.75,-1.91,0.4,-1.27,1723386193708,cobblestone
-3.81,-5.93,25.76,-0.49,-1.17,-0.06,1723386193717,cobblestone
-4.43,-14.23,22.49,0.35,0.52,0.56,1723386193726,cobblestone
-20.46,30.34,8.85,0.83,1.13,2.54,1723386193735,cobblestone
1.41,-5.3,-1.09,2.48,-0.38,0.01,1723386193744,cobblestone
1.24,11.13,-1.64,0.91,0.96,0.13,1723386193754,cobblestone
0.98,-3.08,7.49,-0.12,-0.11,0.11,1723386193764,cobblestone
9.75,-66.12,3.73,-1.74,0.87,-0.63,1723386193773,cobblestone
2.47,0.05,0.22,-2.7,0.18,-0.42,1723386193782,cobblestone
-9.32,-4.6,21.4,-2.49,0.35,-0.86,1723386193791,cobblestone
-8.08,14.4,37.93,0.21,-0.05,-0.88,1723386193800,cobblestone
-10.76,-14.15,24.32,1.38,-0.14,-0.17,1723386193809,cobblestone
-5.51,-7.96,9.49,2.02,-1.01,0.76,1723386193818,cobblestone
2.31,-16.7,3.04,1.14,0.62,0.9,1723386193827,cobblestone
1.93,-1.74,1.89,0.86,0.61,0.99,1723386193836,cobblestone
4.68,-1.65,2.35,0.63,-0.19,1.11,1723386193845,cobblestone
44.09,68.16,-13.44,-0.57,1.05,0.46,1723386193854,cobblestone
7.54,-7.09,5.62,-1.58,0.2,-0.55,1723386193863,cobblestone
7.45,46.09,21.77,-1.48,-0.68,-1.21,1723386193872,cobblestone
-4.56,0.86,8.79,-0.61,-0.05,-1.63,1723386193881,cobblestone
-2.33,-10.58,19.03,-0.19,-1.08,-1.81,1723386193890,cobblestone
-13.43,-30.69,36.08,-1.35,0.4,-0.14,1723386193899,cobblestone
-7.29,8.14,30.8,-0.09,0.99,1.09,1723386193908,cobblestone
-6.39,-11.0,8.77,1.78,-0.01,1.44,1723386193917,cobblestone
-1.54,5.28,1.26,1.19,-0.83,1.73,1723386193926,cobblestone
4.97,10.12,11.74,-0.43,0.79,1.21,1723386193935,cobblestone
12.47,13.11,-1.5,0.3,-0.16,0.21,1723386193944,cobblestone
17.73,-14.58,8.09,0.99,-0.1,-2.07,1723386193953,cobblestone
-0.91,-3.66,4.41,-0.65,-0.43,-0.78,1723386193962,cobblestone
3.92,1.17,16.07,-0.74,-0.05,-0.93,1723386193971,cobblestone
-11.7,4.87,15.22,-0.3,1.36,-1.29,1723386193980,cobblestone
