AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-0.37,-1.69,9.56,-0.09,-0.03,0.11,1723210517162,cobblestone
-0.51,-1.7,11.16,-0.07,-0.07,0.11,1723210517172,cobblestone
-0.04,-1.53,13.56,-0.15,-0.02,0.11,1723210517181,cobblestone
-0.89,-1.88,14.71,-0.09,-0.07,0.1,1723210517190,cobblestone
-0.84,-0.54,14.52,0.11,-0.11,0.12,1723210517199,cobblestone
-1.08,0.22,9.99,0.33,-0.16,0.23,1723210517208,cobblestone
-0.06,1.65,6.22,0.22,-0.2,0.25,1723210517217,cobblestone
-0.34,-0.21,5.07,-0.08,-0.09,0.15,1723210517226,cobblestone
-0.02,-0.21,7.67,-0.32,-0.18,0.13,1723210517235,cobblestone
-0.53,-0.79,11.47,-0.35,-0.07,0.06,1723210517244,cobblestone
-1.02,-1.02,13.75,-0.18,-0.21,0.07,1723210517253,cobblestone
-1.16,-0.4,13.49,0.06,-0.18,0.13,1723210517262,cobblestone
-0.8,-0.48,9.38,0.14,-0.31,0.23,1723210517271,cobblestone
0.27,-0.64,7.92,-0.04,-0.17,0.27,1723210517280,cobblestone
1.26,0.02,9.25,-0.18,-0.19,0.26,1723210517289,cobblestone
1.69,0.7,11.32,-0.08,-0.14,0.2,1723210517298,cobblestone
1.7,1.14,11.43,0.06,-0.2,0.15,1723210517307,cobblestone
1.83,1.54,10.54,0.11,-0.16,0.08,1723210517316,cobblestone
1.41,2.78,8.68,0.09,-0.2,0.03,1723210517325,cobblestone
1.4,0.21,8.86,0.0,-0.15,0.01,1723210517334,cobblestone
0.69,-1.43,8.89,-0.02,-0.19,0.01,1723210517343,cobblestone
0.27,1.0,10.29,-0.05,-0.13,-0.04,1723210517352,cobblestone
-0.69,-1.36,8.55,0.12,-0.25,-0.03,1723210517361,cobblestone
-0.21,-0.43,8.23,-0.01,-0.18,-0.02,1723210517370,cobblestone
-0.93,-1.96,9.5,-0.13,-0.15,0.04,1723210517380,cobblestone
-0.19,-0.64,12.73,-0.1,-0.11,0.05,1723210517389,cobblestone
-0.61,0.18,12.16,0.15,-0.15,0.03,1723210517398,cobblestone
-0.21,-1.69,8.3,0.25,-0.25,0.03,1723210517407,cobblestone
