AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-0.89,4.82,17.86,-0.08,-0.1,0.07,1723211022711,cobblestone
-0.69,0.98,15.93,0.19,-0.15,0.1,1723211022715,cobblestone
0.85,2.21,12.21,0.31,-0.18,0.06,1723211022724,cobblestone
0.51,3.1,7.7,0.06,-0.06,-0.05,1723211022733,cobblestone
-0.76,-0.36,8.13,-0.12,-0.15,-0.16,1723211022742,cobblestone
-2.59,-2.97,10.98,0.02,-0.15,-0.08,1723211022752,cobblestone
-2.39,-0.41,12.71,0.23,-0.19,0.06,1723211022761,cobblestone
-1.74,2.6,11.13,0.28,-0.18,0.21,1723211022770,cobblestone
0.31,1.7,8.66,0.24,-0.2,0.24,1723211022779,cobblestone
1.34,4.74,9.07,0.03,-0.11,0.16,1723211022788,cobblestone
1.54,5.79,11.75,-0.04,-0.15,0.08,1723211022797,cobblestone
1.45,1.64,11.48,0.1,-0.2,0.01,1723211022806,cobblestone
1.0,-3.75,9.4,0.19,-0.22,-0.05,1723211022815,cobblestone
-0.43,-5.05,7.09,0.11,-0.23,-0.11,1723211022824,cobblestone
-0.11,-4.88,8.33,0.03,-0.27,-0.02,1723211022833,cobblestone
0.15,-4.23,10.95,-0.1,-0.13,0.08,1723211022842,cobblestone
0.68,-0.59,13.97,0.04,-0.14,0.05,1723211022851,cobblestone
1.4,2.73,13.51,0.25,-0.09,-0.02,1723211022860,cobblestone
1.45,2.17,10.73,0.18,-0.18,-0.08,1723211022869,cobblestone
0.82,3.24,8.91,-0.05,0.03,-0.2,1723211022878,cobblestone
-0.99,-2.84,6.65,-0.03,-0.17,-0.19,1723211022887,cobblestone
-0.99,-3.16,5.73,0.07,-0.1,-0.08,1723211022896,cobblestone
-0.67,-7.99,6.64,-0.11,-0.14,0.13,1723211022905,cobblestone
0.38,-4.55,9.19,-0.35,-0.04,0.17,1723211022914,cobblestone
1.49,-1.4,13.53,-0.29,-0.06,0.12,1723211022923,cobblestone
2.67,3.06,15.06,0.02,-0.06,0.01,1723211022932,cobblestone
2.55,3.44,10.92,0.42,-0.16,-0.18,1723211022941,cobblestone
2.3,4.01,5.35,0.25,-0.06,-0.3,1723211022950,cobblestone
0.74,0.87,3.44,-0.05,-0.06,-0.38,1723211022959,cobblestone
-0.45,-3.32,5.56,-0.41,-0.01,-0.4,1723211022968,cobblestone
-1.0,-5.89,11.18,-0.54,-0.03,-0.29,1723211022977,cobblestone
-1.99,-3.42,14.78,-0.33,0.04,-0.1,1723211022986,cobblestone
-1.38,-2.91,16.92,-0.11,-0.08,-0.01,1723211022995,cobblestone
0.23,0.43,16.24,0.15,-0.02,0.05,1723211023004,cobblestone
1.93,2.45,12.67,0.4,-0.11,-0.01,1723211023013,cobblestone
2.52,4.24,7.98,0.28,0.11,-0.15,1723211023022,cobblestone
1.94,1.32,5.28,0.02,0.08,-0.26,1723211023031,cobblestone
1.69,1.07,8.69,-0.25,0.17,-0.43,1723211023040,cobblestone
-0.43,-3.22,12.3,-0.27,0.07,-0.53,1723211023049,cobblestone
-1.31,-1.38,14.98,-0.08,0.07,-0.42,1723211023058,cobblestone
-1.77,2.13,13.32,0.28,0.02,-0.27,1723211023067,cobblestone
-0.9,5.32,10.93,0.17,-0.01,-0.24,1723211023076,cobblestone
-0.05,3.32,9.86,0.05,0.04,-0.14,1723211023085,cobblestone
0.85,2.68,10.39,-0.04,0.09,-0.18,1723211023094,cobblestone
1.31,2.16,10.51,-0.03,0.1,-0.28,1723211023103,cobblestone
0.56,1.01,9.49,0.02,0.11,-0.35,1723211023112,cobblestone
-0.29,-2.74,9.27,-0.06,0.09,-0.3,1723211023121,cobblestone
-1.02,-3.87,10.08,-0.1,0.2,-0.27,1723211023130,cobblestone
-0.72,0.07,10.98,-0.01,0.11,-0.26,1723211023139,cobblestone
-0.7,1.19,11.53,0.04,0.18,-0.23,1723211023148,cobblestone
-0.3,1.1,11.06,0.17,0.08,-0.21,1723211023157,cobblestone
0.74,-1.2,9.24,0.03,0.15,-0.22,1723211023166,cobblestone
0.96,0.52,8.5,-0.01,0.18,-0.26,1723211023175,cobblestone
0.8,-1.73,7.89,-0.06,0.17,-0.37,1723211023184,cobblestone
-0.53,-3.8,9.2,-0.2,0.24,-0.42,1723211023193,cobblestone
-1.12,-3.03,12.28,-0.19,0.16,-0.36,1723211023202,cobblestone
-2.26,-3.75,12.04,0.05,0.15,-0.28,1723211023212,cobblestone
-1.71,-3.98,9.93,0.11,0.11,-0.13,1723211023221,cobblestone
-0.21,-2.54,7.89,0.09,0.17,-0.09,1723211023230,cobblestone
1.09,-1.15,8.48,0.05,0.2,-0.2,1723211023239,cobblestone
0.76,-0.05,9.07,0.09,0.2,-0.35,1723211023248,cobblestone
-0.26,0.76,9.21,0.12,0.21,-0.42,1723211023257,cobblestone
-2.12,-1.03,8.98,-0.01,0.2,-0.43,1723211023266,cobblestone
-3.08,-1.25,10.85,-0.18,0.22,-0.26,1723211023275,cobblestone
-3.18,-2.62,14.23,-0.23,0.21,-0.09,1723211023284,cobblestone
-2.05,0.23,15.01,0.14,0.17,0.14,1723211023293,cobblestone
-0.27,-1.13,10.67,0.44,0.05,0.19,1723211023302,cobblestone
1.59,2.36,7.07,0.28,0.18,0.13,1723211023311,cobblestone
1.57,1.31,5.95,-0.0,0.15,0.08,1723211023320,cobblestone
1.95,-0.6,8.93,-0.2,0.24,-0.02,1723211023329,cobblestone
0.91,0.46,12.91,-0.14,0.22,-0.1,1723211023338,cobblestone
0.42,0.27,13.86,0.17,0.17,-0.1,1723211023347,cobblestone
-0.32,-1.02,10.37,0.34,0.07,-0.02,1723211023356,cobblestone
-0.31,-2.92,7.22,0.19,0.12,-0.0,1723211023365,cobblestone
0.42,-0.1,9.85,-0.14,0.26,0.01,1723211023374,cobblestone
-0.23,-0.1,12.73,-0.03,0.2,-0.06,1723211023383,cobblestone
-0.09,1.28,14.26,0.14,0.15,-0.07,1723211023392,cobblestone
-0.44,3.34,13.96,0.22,0.16,-0.16,1723211023401,cobblestone
-1.02,1.42,10.37,0.39,0.03,-0.11,1723211023410,cobblestone
-0.82,-5.3,8.06,0.09,0.09,-0.07,1723211023419,cobblestone
-1.45,-0.45,7.34,-0.05,0.2,-0.0,1723211023428,cobblestone
-1.02,-2.09,7.87,0.09,0.02,0.07,1723211023437,cobblestone
-0.75,-1.73,7.93,0.03,0.11,0.08,1723211023446,cobblestone
0.24,-0.87,8.78,-0.09,0.14,0.11,1723211023455,cobblestone
1.14,0.19,10.38,-0.1,0.19,0.06,1723211023464,cobblestone
1.3,0.8,10.48,-0.06,0.14,-0.07,1723211023473,cobblestone
0.64,-3.25,9.13,0.06,0.08,-0.16,1723211023482,cobblestone
-0.72,-5.33,7.78,-0.0,0.05,-0.25,1723211023491,cobblestone
-1.86,-1.14,8.0,-0.04,0.11,-0.2,1723211023500,cobblestone
-2.15,0.08,9.68,-0.12,0.09,-0.12,1723211023509,cobblestone
-2.65,0.44,11.42,-0.13,0.09,-0.0,1723211023518,cobblestone
-1.43,1.16,12.86,-0.06,0.05,0.13,1723211023527,cobblestone
-0.65,0.99,10.71,0.07,0.03,0.13,1723211023536,cobblestone
0.42,-2.47,8.2,0.05,0.01,0.13,1723211023545,cobblestone
0.52,-2.94,6.96,-0.09,0.04,0.08,1723211023554,cobblestone
0.62,-0.24,8.82,-0.22,0.11,0.03,1723211023563,cobblestone
0.51,4.8,10.34,0.06,0.09,0.05,1723211023572,cobblestone
1.37,3.78,8.03,0.22,-0.06,0.0,1723211023581,cobblestone
1.66,0.22,8.45,-0.29,0.15,-0.03,1723211023590,cobblestone
1.48,4.77,14.98,-0.6,0.18,-0.13,1723211023599,cobblestone
-0.4,-3.5,16.92,-0.09,-0.01,-0.13,1723211023608,cobblestone
-0.62,-7.51,15.13,0.06,0.05,-0.05,1723211023617,cobblestone
-1.49,0.83,8.36,0.32,0.11,-0.0,1723211023626,cobblestone
0.39,-0.83,5.96,0.4,-0.06,-0.01,1723211023635,cobblestone
-0.43,0.62,5.7,0.06,0.19,-0.14,1723211023644,cobblestone
-0.67,1.54,10.6,-0.27,0.04,-0.05,1723211023653,cobblestone
-0.79,6.0,15.0,-0.12,0.19,-0.09,1723211023662,cobblestone
-0.94,4.81,15.46,0.23,-0.03,-0.05,1723211023671,cobblestone
-1.06,2.21,11.05,0.35,0.02,-0.02,1723211023680,cobblestone
-1.13,-1.99,6.36,0.26,-0.01,0.04,1723211023689,cobblestone
-0.66,-4.83,6.81,-0.01,0.08,-0.01,1723211023698,cobblestone
-2.49,-1.87,8.79,-0.24,0.14,0.02,1723211023707,cobblestone
-1.31,-1.72,13.69,-0.2,0.01,0.18,1723211023716,cobblestone
-0.15,-0.76,14.76,0.03,0.1,0.31,1723211023725,cobblestone
1.98,3.47,12.69,0.08,0.05,0.23,1723211023734,cobblestone
3.22,2.89,9.35,0.25,0.04,0.0,1723211023743,cobblestone
1.08,-4.27,5.38,0.1,0.05,-0.23,1723211023753,cobblestone
-0.56,-3.3,4.97,-0.17,-0.02,-0.35,1723211023762,cobblestone
-2.71,-8.59,7.77,-0.31,0.04,-0.27,1723211023771,cobblestone
-4.6,-5.26,12.39,-0.24,-0.02,-0.17,1723211023780,cobblestone
-4.52,-1.3,13.76,0.06,-0.0,0.15,1723211023789,cobblestone
-1.97,0.42,12.47,0.11,-0.07,0.37,1723211023798,cobblestone
0.44,6.35,10.83,0.01,0.09,0.43,1723211023807,cobblestone
1.49,1.47,7.54,0.02,-0.07,0.27,1723211023816,cobblestone
1.97,0.38,6.18,-0.1,0.08,0.06,1723211023825,cobblestone
0.27,-4.74,4.59,-0.08,-0.22,0.01,1723211023834,cobblestone
-0.71,-6.28,7.07,-0.23,-0.04,-0.04,1723211023843,cobblestone
-1.34,-0.37,10.58,-0.23,-0.15,0.15,1723211023852,cobblestone
-0.93,0.91,12.69,-0.12,-0.07,0.29,1723211023861,cobblestone
0.06,1.87,13.24,-0.08,-0.12,0.38,1723211023870,cobblestone
1.96,2.51,13.45,-0.13,-0.13,0.36,1723211023879,cobblestone
1.6,-1.67,10.11,0.03,-0.14,0.25,1723211023888,cobblestone
1.45,-5.55,8.56,-0.03,-0.11,0.11,1723211023897,cobblestone
-0.72,-1.71,8.92,-0.07,-0.09,-0.05,1723211023906,cobblestone
-1.11,-1.76,12.63,-0.12,-0.16,-0.0,1723211023915,cobblestone
-2.41,2.79,14.11,-0.02,-0.21,0.09,1723211023924,cobblestone
-0.83,-0.79,15.71,0.14,-0.29,0.29,1723211023933,cobblestone
0.88,2.75,13.87,0.15,-0.2,0.34,1723211023942,cobblestone
2.51,4.92,10.56,0.32,-0.27,0.3,1723211023951,cobblestone
2.97,-3.56,7.71,0.29,-0.18,0.26,1723211023960,cobblestone
1.9,1.49,5.02,0.14,-0.13,0.12,1723211023969,cobblestone
1.39,0.21,5.69,0.11,-0.13,0.08,1723211023978,cobblestone
0.7,-3.92,8.3,-0.26,-0.15,0.07,1723211023987,cobblestone
1.02,-2.06,14.34,-0.47,-0.06,0.17,1723211023996,cobblestone
0.93,0.2,18.33,-0.21,-0.12,0.16,1723211024005,cobblestone
1.68,0.3,17.92,0.36,-0.23,0.24,1723211024014,cobblestone
2.54,2.06,7.95,0.73,-0.21,0.17,1723211024023,cobblestone
2.44,1.93,1.64,0.51,-0.13,0.09,1723211024032,cobblestone
2.39,-4.47,2.39,0.02,-0.13,-0.11,1723211024041,cobblestone
0.41,-0.41,4.8,-0.53,-0.16,-0.19,1723211024050,cobblestone
-0.35,-4.11,14.12,-0.56,-0.1,-0.28,1723211024059,cobblestone
-4.07,-4.12,22.91,-0.44,0.04,-0.08,1723211024068,cobblestone
-0.35,3.21,16.14,0.3,-0.09,0.05,1723211024077,cobblestone
-0.13,4.82,9.92,0.71,-0.28,0.19,1723211024086,cobblestone
0.27,-1.17,2.99,0.55,-0.15,0.14,1723211024095,cobblestone
1.95,3.34,0.31,-0.04,-0.14,0.04,1723211024104,cobblestone
2.23,-4.86,5.4,-0.64,-0.05,-0.05,1723211024113,cobblestone
1.21,-2.49,13.01,-0.89,-0.05,-0.21,1723211024122,cobblestone
-2.27,-1.35,23.45,-0.59,-0.02,-0.14,1723211024131,cobblestone
-0.56,1.57,19.19,0.3,0.02,-0.18,1723211024140,cobblestone
0.51,5.99,8.25,0.81,-0.34,-0.26,1723211024149,cobblestone
1.45,-0.71,2.56,0.44,-0.18,-0.34,1723211024158,cobblestone
0.01,2.69,2.0,-0.45,0.0,-0.44,1723211024167,cobblestone
-1.04,-0.77,8.65,-0.88,-0.1,-0.4,1723211024176,cobblestone
3.68,-0.87,13.53,-0.68,0.2,-0.3,1723211024185,cobblestone
-6.95,0.57,21.43,-0.06,-0.07,-0.13,1723211024194,cobblestone
-2.76,0.68,14.0,0.88,-0.27,-0.09,1723211024203,cobblestone
-0.22,-0.86,3.62,0.49,-0.1,-0.04,1723211024213,cobblestone
2.08,1.0,2.58,-0.15,-0.07,0.01,1723211024222,cobblestone
3.56,-1.84,8.89,-0.79,0.05,-0.08,1723211024231,cobblestone
1.94,-1.64,15.96,-0.82,0.09,-0.33,1723211024240,cobblestone
3.04,-0.05,20.47,-0.04,-0.11,-0.59,1723211024249,cobblestone
0.58,-2.04,13.5,0.69,-0.08,-0.68,1723211024258,cobblestone
-0.32,-1.6,6.73,0.39,-0.13,-0.65,1723211024267,cobblestone
