AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
24.99,73.59,-6.91,0.39,0.66,-0.54,1723385707281,cobblestone
2.04,-1.87,1.81,1.31,0.44,-0.43,1723385707291,cobblestone
-4.95,-38.79,-1.55,0.04,0.29,-0.5,1723385707300,cobblestone
-3.09,0.41,5.29,-2.66,-0.12,-0.9,1723385707309,cobblestone
-2.85,7.07,2.15,-2.39,0.12,-0.1,1723385707318,cobblestone
-1.65,-9.14,11.79,-0.43,1.35,-0.94,1723385707327,cobblestone
-1.52,-13.02,12.57,1.57,-0.96,0.03,1723385707336,cobblestone
3.23,41.78,29.14,-1.53,1.29,0.43,1723385707345,cobblestone
-2.4,5.61,23.76,-0.6,0.14,-0.28,1723385707354,cobblestone
-4.13,-42.0,21.64,1.42,0.04,-1.12,1723385707363,cobblestone
2.01,3.87,-1.48,1.3,0.87,-0.4,1723385707372,cobblestone
1.43,-1.31,2.81,0.76,0.16,-0.15,1723385707381,cobblestone
-0.43,6.39,0.84,0.31,0.08,0.29,1723385707390,cobblestone
0.98,-2.21,3.02,-0.36,0.32,-0.49,1723385707399,cobblestone
-8.38,41.24,11.88,-2.29,0.72,-0.95,1723385707408,cobblestone
-3.27,-8.8,31.58,-2.12,0.03,-1.06,1723385707417,cobblestone
-9.17,-28.16,28.32,0.47,0.39,-0.58,1723385707426,cobblestone
-5.08,-15.68,4.15,2.73,-0.55,0.1,1723385707435,cobblestone
3.4,-11.92,2.37,2.24,1.05,-0.13,1723385707444,cobblestone
-3.35,-0.3,-1.75,0.45,0.25,-0.01,1723385707454,cobblestone
13.28,28.43,-1.65,0.21,-0.19,-0.34,1723385707463,cobblestone
1.89,-1.89,1.12,-0.67,0.57,-0.79,1723385707472,cobblestone
14.42,78.45,2.8,-3.5,-0.04,-0.73,1723385707481,cobblestone
0.81,20.71,30.29,-4.29,0.49,-0.55,1723385707490,cobblestone
-2.96,-19.26,47.57,-0.92,0.97,-0.57,1723385707499,cobblestone
-1.48,-32.28,12.48,4.37,-1.83,0.59,1723385707508,cobblestone
0.9,4.06,-13.01,1.78,0.67,-0.1,1723385707517,cobblestone
-3.04,3.87,-8.77,0.76,-0.25,-0.3,1723385707526,cobblestone
-0.67,-15.78,4.94,0.67,-0.59,-0.88,1723385707535,cobblestone
0.12,4.5,-0.33,0.12,0.87,-0.14,1723385707544,cobblestone
1.55,30.38,-4.72,-0.41,-0.47,-0.18,1723385707553,cobblestone
-3.85,38.45,-3.38,-2.24,0.14,-0.23,1723385707562,cobblestone
-2.77,-8.13,23.59,-2.24,-0.44,-0.63,1723385707571,cobblestone
-6.25,-27.27,36.88,-1.54,0.23,0.4,1723385707580,cobblestone
0.35,0.28,35.83,1.48,-0.43,1.04,1723385707589,cobblestone
-15.77,15.25,6.79,3.29,-0.36,1.31,1723385707598,cobblestone
4.26,-2.02,1.17,3.7,0.68,0.45,1723385707607,cobblestone
-2.76,-78.45,-25.96,3.34,0.5,-0.08,1723385707616,cobblestone
8.21,4.56,-33.05,-0.46,0.06,-0.87,1723385707625,cobblestone
3.11,-3.89,-5.09,-4.37,-0.06,-1.61,1723385707634,cobblestone
-0.94,5.58,6.3,-4.37,-1.42,-0.74,1723385707643,cobblestone
-5.3,-15.04,67.77,-2.8,2.43,-0.88,1723385707652,cobblestone
-22.69,-17.43,9.19,4.37,-2.35,1.77,1723385707661,cobblestone
-11.07,-15.77,5.82,4.37,-0.1,1.05,1723385707670,cobblestone
12.34,-11.16,6.91,3.8,0.72,0.48,1723385707679,cobblestone
1.37,-16.61,-19.21,3.27,0.14,0.36,1723385707688,cobblestone
-7.18,-4.04,-25.77,-2.71,0.51,-0.75,1723385707697,cobblestone
0.72,17.67,-7.04,-3.51,-0.22,-0.75,1723385707706,cobblestone
-2.57,-8.23,3.9,-4.37,-0.44,-1.35,1723385707715,cobblestone
-7.02,-26.79,41.98,-4.37,1.0,-0.73,1723385707724,cobblestone
-30.78,23.26,78.45,-0.75,1.11,1.47,1723385707733,cobblestone
29.23,78.45,-5.92,4.37,-2.25,-1.12,1723385707742,cobblestone
20.11,-9.15,3.24,4.37,1.59,0.46,1723385707751,cobblestone
10.15,11.61,-45.33,4.37,-2.46,0.06,1723385707760,cobblestone
8.79,-32.82,-61.73,-0.92,-0.36,0.12,1723385707769,cobblestone
7.96,-36.33,-14.32,-4.37,-0.01,-0.88,1723385707778,cobblestone
-3.38,13.02,10.73,-4.37,-1.11,-0.2,1723385707787,cobblestone
7.31,-3.07,60.18,-4.37,2.47,0.07,1723385707796,cobblestone
-2.12,19.7,68.01,2.88,-0.71,-0.62,1723385707806,cobblestone
-22.77,-2.33,-40.76,2.54,-1.61,-0.56,1723385707815,cobblestone
-0.06,5.48,-35.47,-1.2,2.41,-0.89,1723385707824,cobblestone
-3.71,-6.45,4.36,-0.02,-1.69,-0.01,1723385707833,cobblestone
-2.7,0.72,1.1,-1.42,0.64,0.14,1723385707842,cobblestone
-7.09,8.39,4.16,0.48,0.59,0.51,1723385707851,cobblestone
-1.68,-15.54,12.1,3.04,-0.44,0.42,1723385707861,cobblestone
8.13,-13.46,2.57,2.09,1.15,-0.01,1723385707870,cobblestone
5.81,37.93,-2.0,0.61,-0.55,-0.68,1723385707879,cobblestone
-0.57,8.89,4.09,-1.08,0.18,-0.34,1723385707888,cobblestone
2.11,-5.93,1.9,-1.4,-0.26,-0.52,1723385707897,cobblestone
2.22,-7.35,5.44,-2.67,-0.51,-0.73,1723385707906,cobblestone
1.93,0.03,4.57,-2.74,0.58,-0.52,1723385707915,cobblestone
-7.68,-16.67,34.3,-1.66,1.2,-1.1,1723385707924,cobblestone
-7.01,-2.39,34.61,2.32,-1.67,-0.22,1723385707933,cobblestone
-2.58,-5.22,13.57,1.97,0.05,0.51,1723385707942,cobblestone
-1.23,9.15,3.76,1.24,0.28,1.41,1723385707951,cobblestone
