AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
8.65,26.03,1.06,0.07,-0.41,0.16,1723385466264,cobblestone
3.85,-8.32,5.42,-1.24,0.21,-0.72,1723385466273,cobblestone
2.28,-8.51,3.41,-2.08,-0.66,-1.13,1723385466282,cobblestone
1.1,-9.18,6.0,-0.91,-0.06,-0.86,1723385466291,cobblestone
-9.38,26.59,2.47,-0.47,0.66,-0.7,1723385466300,cobblestone
-5.91,-20.39,10.09,1.11,-1.3,0.3,1723385466309,cobblestone
-0.23,6.85,19.65,-0.24,0.91,1.25,1723385466318,cobblestone
3.78,34.86,10.72,-0.01,0.19,1.0,1723385466327,cobblestone
5.01,16.34,14.02,-0.47,-0.12,0.29,1723385466336,cobblestone
1.75,-9.81,23.6,-1.87,0.16,-0.45,1723385466345,cobblestone
1.06,-17.26,22.17,1.5,-0.78,-0.12,1723385466354,cobblestone
-1.49,4.68,-9.74,2.42,0.13,0.35,1723385466363,cobblestone
1.27,-6.04,5.27,3.86,-0.63,-0.18,1723385466373,cobblestone
0.29,-22.69,6.74,1.14,-0.86,0.3,1723385466382,cobblestone
-19.03,28.29,0.36,-2.35,0.48,0.26,1723385466391,cobblestone
-0.98,2.09,1.25,-3.1,-0.0,0.15,1723385466400,cobblestone
-0.38,-22.59,18.95,-2.37,-0.55,-1.01,1723385466409,cobblestone
-1.62,-4.07,24.56,-0.18,0.79,-0.84,1723385466418,cobblestone
-7.2,6.03,17.94,1.64,-1.15,0.03,1723385466427,cobblestone
-4.36,-1.22,6.66,1.4,-0.21,1.04,1723385466437,cobblestone
-4.65,6.37,3.46,-0.01,-0.1,0.96,1723385466447,cobblestone
4.09,14.64,8.43,-1.55,0.34,0.71,1723385466457,cobblestone
10.46,-78.45,18.13,-0.49,-0.32,0.11,1723385466466,cobblestone
-0.15,-11.11,13.55,0.38,-0.08,-0.71,1723385466475,cobblestone
-6.4,13.12,4.75,0.38,-0.2,-0.05,1723385466484,cobblestone
0.41,-12.01,8.01,0.39,-0.61,-0.28,1723385466493,cobblestone
-5.6,17.01,6.34,-0.75,0.74,0.72,1723385466502,cobblestone
-1.16,2.14,1.24,1.43,-0.58,0.28,1723385466511,cobblestone
1.14,-3.93,8.49,2.57,-0.34,0.11,1723385466520,cobblestone
2.64,-6.92,-2.61,1.61,0.25,0.15,1723385466529,cobblestone
-6.08,6.17,8.96,-1.95,0.06,-0.25,1723385466538,cobblestone
-0.9,2.96,4.34,-2.93,-0.89,-0.44,1723385466547,cobblestone
-3.32,-11.6,37.82,-2.6,0.59,0.11,1723385466556,cobblestone
-2.72,20.57,31.74,2.15,-1.01,0.93,1723385466565,cobblestone
2.7,-14.11,10.86,3.63,-0.62,0.86,1723385466574,cobblestone
4.41,-10.81,2.4,2.31,0.88,0.38,1723385466583,cobblestone
8.54,44.41,-8.31,0.6,-0.44,0.56,1723385466592,cobblestone
2.42,-3.52,8.28,-0.28,0.06,-0.76,1723385466601,cobblestone
2.89,6.38,4.62,-1.48,0.0,-0.84,1723385466610,cobblestone
-1.28,-1.9,3.55,-2.65,-0.9,-0.72,1723385466619,cobblestone
0.92,35.74,-0.86,-2.76,0.8,0.22,1723385466628,cobblestone
-10.13,-29.8,6.28,1.08,0.7,-0.03,1723385466637,cobblestone
-1.61,-2.43,4.64,2.56,-1.59,0.39,1723385466646,cobblestone
-1.09,-27.22,16.01,-1.27,0.07,0.17,1723385466655,cobblestone
20.08,78.45,46.18,-4.37,-0.34,-0.25,1723385466665,cobblestone
4.43,-18.02,65.72,0.47,-0.01,0.71,1723385466674,cobblestone
2.84,-1.4,28.21,3.92,-0.02,0.25,1723385466683,cobblestone
6.27,3.76,18.89,4.37,0.24,-0.2,1723385466692,cobblestone
15.91,-23.99,-3.29,4.37,-0.36,0.21,1723385466701,cobblestone
-16.1,-6.62,-36.25,-1.69,0.17,-0.55,1723385466710,cobblestone
-11.22,10.98,-13.35,-2.29,0.53,-0.3,1723385466719,cobblestone
-3.98,-8.49,-0.48,-0.66,-0.3,0.51,1723385466728,cobblestone
0.88,-0.86,-0.19,-1.73,0.06,0.51,1723385466737,cobblestone
3.24,-15.43,7.72,-3.02,0.6,0.12,1723385466746,cobblestone
-1.75,-45.28,17.39,-4.37,-0.41,-0.03,1723385466755,cobblestone
3.08,36.47,44.29,-2.89,-0.15,0.45,1723385466764,cobblestone
4.45,13.38,47.63,3.45,0.6,-0.04,1723385466773,cobblestone
-12.73,-14.5,23.1,4.37,-1.21,0.57,1723385466782,cobblestone
0.11,-0.83,29.77,2.72,0.72,-0.55,1723385466791,cobblestone
-8.99,14.65,-9.26,0.42,-0.09,-0.24,1723385466800,cobblestone
-5.38,-16.55,8.55,-0.29,-0.73,-0.63,1723385466809,cobblestone
-4.8,-26.66,-1.55,0.2,0.63,0.49,1723385466818,cobblestone
1.78,6.03,4.16,-1.31,0.58,0.52,1723385466827,cobblestone
