AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
0.4,-0.45,6.13,-0.19,0.14,-0.1,1723211590173,cobblestone
-0.65,-1.86,9.51,-0.33,0.09,-0.17,1723211590182,cobblestone
-1.07,-0.05,14.62,-0.16,0.03,-0.07,1723211590191,cobblestone
-1.62,-1.74,14.6,0.17,0.04,0.05,1723211590200,cobblestone
-0.65,-0.03,11.25,0.16,0.03,0.05,1723211590209,cobblestone
0.23,1.69,11.53,-0.0,0.03,0.06,1723211590218,cobblestone
1.21,1.54,10.5,0.21,0.01,0.06,1723211590227,cobblestone
1.23,2.26,6.77,0.27,0.05,-0.03,1723211590236,cobblestone
1.58,1.56,5.13,0.13,0.02,-0.12,1723211590245,cobblestone
0.45,1.63,5.9,-0.12,0.06,-0.2,1723211590254,cobblestone
-0.95,0.83,9.96,-0.19,0.08,-0.24,1723211590264,cobblestone
-0.93,-0.76,12.32,-0.14,-0.02,-0.14,1723211590273,cobblestone
-0.35,-2.18,10.89,-0.03,0.02,-0.02,1723211590282,cobblestone
0.61,-1.0,10.62,0.02,-0.1,0.05,1723211590291,cobblestone
1.46,0.06,12.16,-0.25,0.08,-0.02,1723211590300,cobblestone
1.05,-2.0,15.63,-0.28,0.12,-0.15,1723211590309,cobblestone
-0.02,-0.2,15.57,0.08,0.05,-0.32,1723211590318,cobblestone
-1.55,-0.91,10.11,0.46,-0.1,-0.29,1723211590327,cobblestone
-1.7,-0.05,6.2,0.13,0.02,-0.16,1723211590336,cobblestone
-2.22,0.02,7.88,-0.21,0.15,-0.06,1723211590345,cobblestone
-1.81,-1.27,11.4,-0.11,0.05,0.04,1723211590354,cobblestone
-0.9,-0.51,11.88,0.01,0.1,0.19,1723211590363,cobblestone
1.33,1.34,10.98,0.11,0.05,0.17,1723211590372,cobblestone
1.57,0.47,7.08,0.03,0.13,-0.01,1723211590381,cobblestone
2.01,-1.2,7.89,-0.23,0.05,-0.11,1723211590390,cobblestone
1.65,-1.39,10.5,-0.25,0.19,-0.2,1723211590399,cobblestone
-0.03,-0.63,10.41,-0.05,0.08,-0.29,1723211590408,cobblestone
-1.03,-1.47,9.86,0.09,-0.01,-0.36,1723211590417,cobblestone
-2.45,-0.71,8.14,-0.07,0.08,-0.31,1723211590426,cobblestone
-2.36,-0.93,9.51,-0.14,0.06,-0.11,1723211590435,cobblestone
-1.83,-3.84,10.56,-0.1,0.13,0.08,1723211590444,cobblestone
-0.24,-0.59,12.29,-0.13,0.12,0.16,1723211590453,cobblestone
1.75,1.18,12.5,-0.03,0.13,0.11,1723211590462,cobblestone
2.26,1.42,11.6,0.07,0.02,-0.02,1723211590471,cobblestone
1.74,0.15,12.02,-0.06,0.14,-0.24,1723211590480,cobblestone
-0.05,-0.52,11.47,0.0,0.1,-0.37,1723211590489,cobblestone
-1.91,0.67,9.36,0.17,0.1,-0.27,1723211590498,cobblestone
-1.58,0.12,7.36,0.26,0.07,-0.11,1723211590507,cobblestone
-1.23,-0.46,7.7,-0.04,0.15,-0.03,1723211590516,cobblestone
-0.38,0.62,10.26,-0.26,0.17,0.02,1723211590525,cobblestone
0.66,-2.03,15.56,-0.19,0.11,0.06,1723211590534,cobblestone
1.52,0.28,15.88,0.11,0.21,-0.06,1723211590543,cobblestone
0.6,0.29,10.43,0.47,-0.01,-0.27,1723211590552,cobblestone
-0.5,-2.09,7.88,0.14,0.07,-0.35,1723211590561,cobblestone
-0.98,-1.01,10.81,-0.17,0.15,-0.24,1723211590570,cobblestone
-2.13,-0.69,12.74,-0.12,0.2,-0.12,1723211590579,cobblestone
-1.51,1.41,13.14,0.35,-0.03,-0.06,1723211590588,cobblestone
-1.18,0.26,7.22,0.44,0.03,0.01,1723211590597,cobblestone
-0.56,1.96,5.58,0.04,0.14,-0.02,1723211590606,cobblestone
-1.0,0.27,8.12,-0.26,0.19,-0.1,1723211590615,cobblestone
-0.98,-1.38,13.36,-0.35,0.18,-0.1,1723211590624,cobblestone
-1.53,1.21,14.53,0.01,0.04,-0.03,1723211590633,cobblestone
-0.95,-0.99,11.08,0.32,-0.06,-0.01,1723211590642,cobblestone
-0.23,-1.53,7.65,0.05,0.08,-0.03,1723211590651,cobblestone
-0.04,-0.24,8.38,-0.19,0.09,-0.09,1723211590660,cobblestone
-0.56,1.69,10.87,-0.08,0.11,-0.1,1723211590669,cobblestone
-1.87,0.85,9.11,0.24,0.04,-0.17,1723211590678,cobblestone
-2.45,-1.8,7.09,0.12,0.02,-0.13,1723211590687,cobblestone
-2.21,-1.11,7.26,-0.12,0.04,0.05,1723211590696,cobblestone
-1.38,-1.41,9.88,-0.22,0.03,0.17,1723211590705,cobblestone
0.28,-1.28,13.35,-0.18,0.05,0.28,1723211590714,cobblestone
1.31,0.19,14.45,0.02,0.05,0.18,1723211590723,cobblestone
1.53,1.11,11.42,0.21,-0.01,0.01,1723211590732,cobblestone
1.79,1.14,8.51,0.2,0.01,-0.11,1723211590741,cobblestone
0.08,1.69,5.82,0.05,0.02,-0.18,1723211590751,cobblestone
-0.9,0.16,7.54,-0.12,0.04,-0.13,1723211590761,cobblestone
-0.36,-1.82,11.89,-0.15,0.02,0.0,1723211590770,cobblestone
-0.73,-0.11,13.21,0.08,0.08,0.06,1723211590779,cobblestone
-0.35,-0.21,10.91,0.2,-0.02,0.06,1723211590788,cobblestone
0.36,1.76,9.86,0.09,0.05,0.04,1723211590797,cobblestone
0.37,1.95,9.92,-0.1,-0.04,0.04,1723211590806,cobblestone
0.13,-0.34,13.59,-0.17,0.05,0.05,1723211590815,cobblestone
-0.57,-0.08,12.91,0.09,-0.02,0.01,1723211590824,cobblestone
0.14,-2.77,9.7,0.23,-0.11,0.07,1723211590833,cobblestone
-0.1,-1.39,7.96,-0.11,0.09,0.04,1723211590842,cobblestone
-0.62,-1.17,8.51,-0.31,0.06,-0.05,1723211590851,cobblestone
-1.0,0.43,14.55,-0.33,0.09,-0.1,1723211590860,cobblestone
-1.77,0.5,15.36,0.14,0.03,0.04,1723211590869,cobblestone
-1.13,2.5,8.85,0.61,-0.15,0.05,1723211590878,cobblestone
0.15,-1.5,4.88,0.04,0.01,-0.02,1723211590887,cobblestone
-0.36,-0.19,7.16,-0.48,0.07,-0.04,1723211590896,cobblestone
-0.7,-1.94,11.92,-0.37,0.03,-0.06,1723211590905,cobblestone
-0.34,-3.54,14.92,-0.08,-0.0,0.02,1723211590914,cobblestone
-0.83,-0.23,10.71,0.21,-0.13,0.02,1723211590924,cobblestone
-0.5,-1.51,7.6,0.04,-0.11,0.04,1723211590933,cobblestone
0.63,-0.01,8.98,-0.26,0.02,0.08,1723211590942,cobblestone
-0.52,-2.09,9.07,-0.13,0.02,0.01,1723211590951,cobblestone
-0.02,-1.13,8.24,0.05,-0.14,-0.1,1723211590960,cobblestone
-1.19,-5.08,7.7,-0.11,-0.03,-0.09,1723211590969,cobblestone
-1.2,-2.15,10.85,-0.25,0.09,-0.04,1723211590978,cobblestone
-0.64,0.36,16.24,-0.15,-0.05,0.03,1723211590987,cobblestone
-0.83,5.34,17.11,0.12,-0.04,0.13,1723211590996,cobblestone
-0.59,7.11,13.07,0.47,-0.14,0.22,1723211591005,cobblestone
2.49,4.2,5.95,0.38,-0.07,0.15,1723211591014,cobblestone
1.95,-2.47,4.27,-0.02,-0.02,-0.27,1723211591023,cobblestone
-1.23,-1.87,7.83,-0.54,-0.0,-0.29,1723211591032,cobblestone
-1.84,-1.7,13.67,-0.47,-0.0,-0.21,1723211591041,cobblestone
-2.01,-3.45,14.72,0.06,-0.04,-0.06,1723211591051,cobblestone
-1.65,-1.67,9.71,0.47,-0.22,0.24,1723211591060,cobblestone
